Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
08:07:54,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
08:07:56,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
08:07:58,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
08:07:59,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:01,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:03,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:05,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:07,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:08,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:10,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:12,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:14,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:16,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:17,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:19,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:21,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:23,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:25,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:27,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:28,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:30,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:32,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:34,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:36,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:37,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:39,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
08:08:41,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:43,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:45,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:46,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:48,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:50,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:52,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:54,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:55,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:57,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
08:08:59,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:01,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:03,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:05,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:06,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:08,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:10,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:12,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:14,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:15,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:17,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:19,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:21,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:23,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:24,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:26,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:28,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:30,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:32,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:34,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:35,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:37,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:39,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:41,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:43,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:44,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:46,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:48,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:50,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:52,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:53,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
08:09:55,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:57,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
08:09:59,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
08:10:01,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
