File is openned: 2022-05-26 08:07:59
2022-05-26 08:07:59: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '6.532766', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.8856869'}
2022-05-26 08:08:01: {'Acceleration': '(-0.1157227, 0.0201416, 1.010498)', 'Roll': '6.533075', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.134475'}
2022-05-26 08:08:02: {'Acceleration': '(-0.1151123, 0.01501465, 1.005493)', 'Roll': '6.530983', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8499615'}
2022-05-26 08:08:03: {'Acceleration': '(-0.1226807, 0.05566406, 1.003174)', 'Roll': '6.972225', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.234859'}
2022-05-26 08:08:04: {'Acceleration': '(-0.1318359, 0.02941895, 1.010376)', 'Roll': '7.434072', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.203675'}
2022-05-26 08:08:05: {'Acceleration': '(-0.1445313, -0.0002441406, 0.9481201)', 'Roll': '8.66743', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.01458515'}
2022-05-26 08:08:06: {'Acceleration': '(-0.1452637, -0.01306152, 1.004395)', 'Roll': '8.229516', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.7373825'}
2022-05-26 08:08:07: {'Acceleration': '(-0.1678467, -0.0003662109, 0.9628906)', 'Roll': '9.888183', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.02146728'}
2022-05-26 08:08:08: {'Acceleration': '(-0.1383057, -0.03198242, 0.9967041)', 'Roll': '7.989569', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.74196'}
2022-05-26 08:08:09: {'Acceleration': '(-0.1274414, -0.004882813, 1.008545)', 'Roll': '7.201819', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.2752037'}
2022-05-26 08:08:10: {'Acceleration': '(-0.1147461, -0.0135498, 1.020996)', 'Roll': '8.26637', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.4885515'}
2022-05-26 08:08:11: {'Acceleration': '(-0.1080322, -0.003662109, 1.006226)', 'Roll': '6.12802', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.0'}
2022-05-26 08:08:12: {'Acceleration': '(-0.1293945, -0.01318359, 1.004517)', 'Roll': '7.340007', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.7441628'}
2022-05-26 08:08:13: {'Acceleration': '(-0.133667, -0.008544922, 1.012085)', 'Roll': '7.523563', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '1.427368'}
2022-05-26 08:08:15: {'Acceleration': '(-0.1143799, 0.0007324219, 1.006714)', 'Roll': '7.311213', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.006917825'}
2022-05-26 08:08:16: {'Acceleration': '(-0.08959961, 0.0333252, 0.9968262)', 'Roll': '5.136222', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.907076'}
2022-05-26 08:08:17: {'Acceleration': '(-0.04870605, 0.05041504, 0.9932861)', 'Roll': '3.922953', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-1.804799'}
2022-05-26 08:08:18: {'Acceleration': '(-0.04467773, -0.03759766, 1.050293)', 'Roll': '2.4358', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.2046484'}
2022-05-26 08:08:19: {'Acceleration': '(-0.114624, 0.05004883, 1.013794)', 'Roll': '6.450719', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.80841'}
2022-05-26 08:08:20: {'Acceleration': '(-0.05358887, 0.02770996, 1.01062)', 'Roll': '3.511271', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.8644'}
