Time,ssid,bssid,sec,channel,rssi
08:07:54,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-57
08:07:54,iPhone,"b'n""Fe\xedy'",3,6,-62
08:07:56,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-56
08:07:56,iPhone,"b'n""Fe\xedy'",3,6,-63
08:07:56,SFR_FD98,b'\xcc-\x1b\xb3\xfd\x9e',4,11,-92
08:07:56,SFR WiFi Mobile,b'r-\x1b\xb3\xfd\x9d',5,11,-94
08:07:58,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-53
08:07:58,iPhone,"b'n""Fe\xedy'",3,6,-62
08:07:59,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-51
08:07:59,iPhone,"b'n""Fe\xedy'",3,6,-63
08:07:59,SFR_FD98,b'\xcc-\x1b\xb3\xfd\x9e',4,11,-92
08:07:59,SFR WiFi FON,b'r-\x1b\xb3\xfd\x9f',0,11,-93
08:07:59,SFR WiFi Mobile,b'r-\x1b\xb3\xfd\x9d',5,11,-93
08:08:01,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-52
08:08:01,iPhone,"b'n""Fe\xedy'",3,6,-61
08:08:03,iPhone,"b'n""Fe\xedy'",3,6,-64
08:08:03,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-68
08:08:03,SFR WiFi Mobile,b'r-\x1b\xb3\xfd\x9d',5,11,-90
08:08:03,SFR WiFi FON,b'r-\x1b\xb3\xfd\x9f',0,11,-90
08:08:03,SFR_FD98,b'\xcc-\x1b\xb3\xfd\x9e',4,11,-91
08:08:05,iPhone,"b'n""Fe\xedy'",3,6,-61
08:08:05,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-62
08:08:05,Livebox-61C0,b'\x98Be\xe9a\xc0',3,6,-82
08:08:07,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-47
08:08:07,iPhone,"b'n""Fe\xedy'",3,6,-69
08:08:09,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-53
08:08:09,iPhone,"b'n""Fe\xedy'",3,6,-64
08:08:11,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-52
08:08:11,iPhone,"b'n""Fe\xedy'",3,6,-74
08:08:11,Livebox-61C0,b'\x98Be\xe9a\xc0',3,6,-83
08:08:13,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-57
08:08:13,iPhone,"b'n""Fe\xedy'",3,6,-61
08:08:13,SFR WiFi FON,b'r-\x1b\xb3\xfd\x9f',0,11,-96
08:08:14,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-57
08:08:14,iPhone,"b'n""Fe\xedy'",3,6,-66
08:08:16,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-51
08:08:16,iPhone,"b'n""Fe\xedy'",3,6,-63
08:08:16,Livebox-61C0,b'\x98Be\xe9a\xc0',3,6,-74
08:08:18,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-48
08:08:18,iPhone,"b'n""Fe\xedy'",3,6,-65
08:08:20,Livebox-D770,b'\x98Be\xe8\xd7p',3,1,-49
08:08:20,iPhone,"b'n""Fe\xedy'",3,6,-69
08:08:20,SFR WiFi Mobile,b'r-\x1b\xb3\xfd\x9d',5,11,-91
08:08:20,SFR_FD98,b'\xcc-\x1b\xb3\xfd\x9e',4,11,-92
