Testing SD card write operations: 2022-07-02 10:05:50
2022-07-02 10:05:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:05:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:05:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:05:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:05:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:05:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c1c80503d0cb', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:05:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:05:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:05:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:05:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c1c80503d0cb', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c1c80503d0cb', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c386b4c427c1', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c386b4c427c1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c386b4c427c1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c386b4c427c1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c386b4c427c1', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'56c4fa60ee8c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-02 10:06:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74f924acb948', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-02 10:06:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-02 10:06:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e454edcb9beb', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-02 10:06:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'64b081ed8941', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
