Testing SD card write operations: 2022-07-07 19:09:15
2022-07-07 19:09:15: {'Acceleration': '(0.07592773, -0.06665039, 1.007324)', 'Roll': '-4.566734', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.621119'}
2022-07-07 19:09:16: {'Acceleration': '(0.08105469, -0.06896973, 1.001221)', 'Roll': '-4.628335', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '3.646009'}
2022-07-07 19:09:17: {'Acceleration': '(0.07788086, -0.06774902, 0.9976807)', 'Roll': '-4.711834', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.834347'}
2022-07-07 19:09:17: {'Acceleration': '(0.07861328, -0.06396484, 1.000732)', 'Roll': '-4.491688', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.646055'}
2022-07-07 19:09:18: {'Acceleration': '(0.08251953, -0.06726074, 1.000854)', 'Roll': '-4.490452', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.777935'}
2022-07-07 19:09:19: {'Acceleration': '(0.07983398, -0.0657959, 1.007568)', 'Roll': '-4.530326', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.724565'}
2022-07-07 19:09:20: {'Acceleration': '(0.07958984, -0.06640625, 1.003906)', 'Roll': '-4.532937', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.821497'}
2022-07-07 19:09:21: {'Acceleration': '(0.0814209, -0.06628418, 0.998291)', 'Roll': '-4.662739', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.786194'}
2022-07-07 19:09:22: {'Acceleration': '(0.08215332, -0.0682373, 1.002686)', 'Roll': '-4.683969', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.635242'}
2022-07-07 19:09:23: {'Acceleration': '(0.08312988, -0.06872559, 1.003052)', 'Roll': '-4.737673', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.906229'}
2022-07-07 19:09:23: {'Acceleration': '(0.078125, -0.06542969, 1.002686)', 'Roll': '-4.455242', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.736111'}
2022-07-07 19:09:24: {'Acceleration': '(0.0814209, -0.06713867, 0.9992676)', 'Roll': '-4.79495', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.896677'}
2022-07-07 19:09:25: {'Acceleration': '(0.08081055, -0.06750488, 1.002808)', 'Roll': '-4.607184', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.596612'}
2022-07-07 19:09:26: {'Acceleration': '(0.08117676, -0.06762695, 1.006958)', 'Roll': '-4.560669', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.802493'}
2022-07-07 19:09:27: {'Acceleration': '(0.0802002, -0.06591797, 1.005615)', 'Roll': '-4.559823', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.73853'}
2022-07-07 19:09:28: {'Acceleration': '(0.07739258, -0.06616211, 0.9973145)', 'Roll': '-4.576708', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.783389'}
