Testing SD card write operations: 2022-07-07 19:08:09
2022-07-07 19:08:10: {'ssid':'H60', 'bssid':'ff6e8d5441be071b66ce8e29fbce6ecd242bc0832258589eba5970176fac5129', 'sec':4, 'channel':1, 'rssi':-42}
2022-07-07 19:08:10: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-07 19:08:10: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-59}
2022-07-07 19:08:10: {'ssid':'H63', 'bssid':'c0837695288a49b919f78fa1648e6b0ff8bdde32bab4c5058a8c8d2def75a8a2', 'sec':4, 'channel':1, 'rssi':-70}
2022-07-07 19:08:10: {'ssid':'H64', 'bssid':'1bcf66400b06381bec7400b6a5885060ddfe1792a7ca1e2be693c07fdc72cfe2', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-07 19:08:10: {'ssid':'H65', 'bssid':'3fa0a68098a1db3c2bbcb3e49625ca0d24526c5112795eb836161687770e5a50', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-07 19:08:10: {'ssid':'H66', 'bssid':'d07760658ceeadc917ad650d9c0848d1691ffcbbffa76c4a6df6ca60b3c3922e', 'sec':4, 'channel':11, 'rssi':-94}
2022-07-07 19:08:12: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-07 19:08:12: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-58}
2022-07-07 19:08:12: {'ssid':'H67', 'bssid':'2608d6b838c377ab9737d6b43ce9e2da771417146ee17b22aa40ce488e641275', 'sec':4, 'channel':1, 'rssi':-70}
2022-07-07 19:08:12: {'ssid':'H63', 'bssid':'c0837695288a49b919f78fa1648e6b0ff8bdde32bab4c5058a8c8d2def75a8a2', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-07 19:08:12: {'ssid':'H68', 'bssid':'825b6d40dc90bea128dff31aa461d20b3ccdb78184e9af7237bac692dd1be3df', 'sec':4, 'channel':6, 'rssi':-90}
2022-07-07 19:08:12: {'ssid':'H69', 'bssid':'4b63bb242a9b9e6616f48246598e5e8feb895da259e4b07653c1bc147d06eb7e', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-07 19:08:14: {'ssid':'H60', 'bssid':'ff6e8d5441be071b66ce8e29fbce6ecd242bc0832258589eba5970176fac5129', 'sec':4, 'channel':1, 'rssi':-46}
2022-07-07 19:08:14: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-07 19:08:14: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-67}
2022-07-07 19:08:14: {'ssid':'H67', 'bssid':'2608d6b838c377ab9737d6b43ce9e2da771417146ee17b22aa40ce488e641275', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:14: {'ssid':'H610', 'bssid':'dca2767331ea09388562a04bf8f9592086f568f5be4fb5010d1d365543764d3e', 'sec':4, 'channel':1, 'rssi':-78}
2022-07-07 19:08:14: {'ssid':'H65', 'bssid':'3fa0a68098a1db3c2bbcb3e49625ca0d24526c5112795eb836161687770e5a50', 'sec':4, 'channel':1, 'rssi':-79}
2022-07-07 19:08:16: {'ssid':'H60', 'bssid':'ff6e8d5441be071b66ce8e29fbce6ecd242bc0832258589eba5970176fac5129', 'sec':4, 'channel':1, 'rssi':-49}
2022-07-07 19:08:16: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-07 19:08:16: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-70}
2022-07-07 19:08:16: {'ssid':'H67', 'bssid':'2608d6b838c377ab9737d6b43ce9e2da771417146ee17b22aa40ce488e641275', 'sec':4, 'channel':1, 'rssi':-71}
2022-07-07 19:08:16: {'ssid':'H63', 'bssid':'c0837695288a49b919f78fa1648e6b0ff8bdde32bab4c5058a8c8d2def75a8a2', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-07 19:08:16: {'ssid':'H610', 'bssid':'dca2767331ea09388562a04bf8f9592086f568f5be4fb5010d1d365543764d3e', 'sec':4, 'channel':1, 'rssi':-79}
2022-07-07 19:08:18: {'ssid':'H60', 'bssid':'ff6e8d5441be071b66ce8e29fbce6ecd242bc0832258589eba5970176fac5129', 'sec':4, 'channel':1, 'rssi':-47}
2022-07-07 19:08:18: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-63}
