Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
19:08:11,,3,b'fc4059a1647d',-91,,3,64,,3
19:08:12,26,3,b'7c38a4a2c480',-76,,3,64,12,3
19:08:12,26,3,b'7c38a4a2c480',-68,,3,64,12,3
19:08:13,,3,b'e38553e772cf',-89,,3,64,,3
19:08:14,26,3,b'7c38a4a2c480',-82,,3,64,12,3
19:08:15,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:08:16,26,3,b'7c38a4a2c480',-78,,3,64,12,3
19:08:16,,3,b'e38553e772cf',-72,,3,64,,3
19:08:17,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:18,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:19,,3,b'fc4059a1647d',-93,,3,64,,3
19:08:20,26,3,b'7c38a4a2c480',-84,,3,64,12,3
19:08:20,26,3,b'7c38a4a2c480',-70,,3,64,12,3
19:08:21,,3,b'e38553e772cf',-78,,3,64,,3
19:08:22,26,3,b'54870402f15b',-89,,3,64,8,3
19:08:23,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:08:24,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:24,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:25,26,3,b'7c38a4a2c480',-70,,3,64,12,3
19:08:26,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:27,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:28,26,3,b'7c38a4a2c480',-79,,3,64,12,3
19:08:28,26,3,b'7c38a4a2c480',-81,,3,64,12,3
19:08:29,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:08:30,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:08:31,,3,b'e38553e772cf',-80,,3,64,,3
19:08:32,,3,b'e38553e772cf',-85,,3,64,,3
19:08:32,26,3,b'7c38a4a2c480',-78,,3,64,12,3
19:08:33,,3,b'e38553e772cf',-78,,3,64,,3
19:08:34,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:35,26,3,b'7c38a4a2c480',-77,,3,64,12,3
19:08:36,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:08:37,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:37,,3,b'e38553e772cf',-79,,3,64,,3
19:08:38,26,3,b'7c38a4a2c480',-80,,3,64,12,3
19:08:39,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:40,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:41,26,3,b'7c38a4a2c480',-82,,3,64,12,3
19:08:41,,3,b'e38553e772cf',-76,,3,64,,3
19:08:42,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:43,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:08:44,,3,b'e38553e772cf',-78,,3,64,,3
19:08:45,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:08:45,26,3,b'7c38a4a2c480',-84,,3,64,12,3
19:08:46,26,3,b'7c38a4a2c480',-77,,3,64,12,3
19:08:47,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:08:48,,3,b'e38553e772cf',-87,,3,64,,3
19:08:49,26,3,b'7c38a4a2c480',-84,,3,64,12,3
19:08:49,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:50,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:51,26,3,b'7c38a4a2c480',-86,,3,64,12,3
19:08:52,26,3,b'7c38a4a2c480',-89,,3,64,12,3
19:08:53,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:53,26,3,b'7c38a4a2c480',-87,,3,64,12,3
19:08:54,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:08:55,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:08:56,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:08:57,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:08:57,,3,b'e38553e772cf',-75,,3,64,,3
19:08:58,,3,b'e38553e772cf',-79,,3,64,,3
19:08:59,,3,b'e38553e772cf',-89,,3,64,,3
19:09:00,,3,b'e38553e772cf',-76,,3,64,,3
19:09:01,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:09:01,,3,b'e38553e772cf',-75,,3,64,,3
19:09:02,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:09:03,26,3,b'7c38a4a2c480',-81,,3,64,12,3
19:09:04,26,3,b'7c38a4a2c480',-78,,3,64,12,3
19:09:05,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:09:05,,3,b'e38553e772cf',-78,,3,64,,3
19:09:06,26,3,b'7c38a4a2c480',-83,,3,64,12,3
19:09:07,26,3,b'7c38a4a2c480',-76,,3,64,12,3
19:09:08,26,3,b'7c38a4a2c480',-72,,3,64,12,3
19:09:09,26,3,b'7c38a4a2c480',-85,,3,64,12,3
19:09:09,,3,b'e38553e772cf',-75,,3,64,,3
19:09:10,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:09:11,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:09:12,,3,b'e38553e772cf',-75,,3,64,,3
19:09:13,26,3,b'7c38a4a2c480',-74,,3,64,12,3
19:09:13,26,3,b'7c38a4a2c480',-83,,3,64,12,3
19:09:14,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:09:15,,3,b'e38553e772cf',-84,,3,64,,3
19:09:16,26,3,b'7c38a4a2c480',-83,,3,64,12,3
19:09:17,26,3,b'7c38a4a2c480',-75,,3,64,12,3
19:09:17,26,3,b'7c38a4a2c480',-83,,3,64,12,3
19:09:18,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:09:19,26,3,b'7c38a4a2c480',-85,,3,64,12,3
19:09:20,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:09:21,26,3,b'7c38a4a2c480',-77,,3,64,12,3
19:09:21,26,3,b'7c38a4a2c480',-73,,3,64,12,3
19:09:22,,3,b'e38553e772cf',-85,,3,64,,3
