Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
06:08:33,"(0.0, 0.0, 0.0)",0.8213143,4.034373,36.77056,3.29531
06:08:34,"(-0.01550293, -0.06091309, 1.014404)",0.6937036,4.064481,39.78136,3.491851
06:08:35,"(-0.01477051, -0.06091309, 1.014038)",1.012874,4.064481,39.78136,3.40904
06:08:36,"(-0.01464844, -0.05822754, 1.012451)",0.8289141,4.064481,39.78136,3.291194
06:08:36,"(-0.0168457, -0.05981445, 1.010864)",0.9547259,4.064481,39.78136,3.374485
06:08:37,"(-0.01501465, -0.05957031, 1.012817)",0.8493268,4.069499,40.28313,3.365687
06:08:38,"(-0.01806641, -0.05847168, 1.021118)",0.9485417,4.074516,40.78491,3.363986
06:08:39,"(-0.01818848, -0.06115723, 1.015259)",0.8472847,4.074516,40.78491,3.240901
06:08:40,"(-0.01513672, -0.06152344, 1.010864)",0.857885,4.064481,39.78136,3.482462
06:08:41,"(-0.01245117, -0.06115723, 1.014771)",0.7029804,4.074516,40.78491,3.454005
06:08:42,"(-0.015625, -0.06005859, 1.012085)",0.8844864,4.074516,40.78491,3.382607
06:08:42,"(-0.0135498, -0.06079102, 1.009033)",0.7693502,4.059462,39.27948,3.494916
06:08:43,"(-0.01904297, -0.05822754, 1.013306)",0.9869275,4.074516,40.78491,3.473967
06:08:44,"(-0.01098633, -0.06750488, 1.004883)",0.6263866,4.064481,39.78136,3.842948
06:08:45,"(-0.0144043, -0.05932617, 1.011963)",0.815494,4.069499,40.28313,3.134065
06:08:46,"(-0.003173828, -0.0612793, 0.9752197)",0.186467,4.064481,39.78136,3.772377
06:08:47,"(-0.003540039, -0.06054688, 1.011597)",0.2005033,4.034373,36.77056,3.632615
06:08:48,"(-0.0111084, -0.06030273, 1.009033)",0.630741,4.069499,40.28313,3.419886
06:08:48,"(-0.008300781, -0.06188965, 1.01001)",0.4708756,4.064481,39.78136,3.50637
06:08:49,"(-0.01318359, -0.06005859, 1.011719)",0.7465725,4.059462,39.27948,3.396971
06:08:50,"(-0.01391602, -0.06188965, 1.013672)",0.7865255,4.069499,40.28313,3.530705
06:08:51,"(-0.01220703, -0.06237793, 1.012085)",0.6871316,4.074516,40.78491,3.561573
06:08:52,"(-0.01147461, -0.06311035, 1.014771)",0.6562407,4.074516,40.78491,3.339514
06:08:53,"(-0.01708984, -0.0625, 1.012817)",0.9666924,4.059462,39.27948,3.530689
06:08:54,"(-0.01123047, -0.06005859, 1.012207)",0.6356723,4.074516,40.78491,3.395415
06:08:54,"(-0.01489258, -0.06115723, 1.011353)",0.8436426,4.064481,39.78136,3.460129
06:08:55,"(-0.01403809, -0.05969238, 1.014404)",0.7928513,4.074516,40.78491,3.367352
06:08:56,"(-0.01391602, -0.06188965, 1.010986)",0.7886147,4.064481,39.78136,3.502779
06:08:57,"(-0.01330566, -0.05993652, 1.009888)",0.7548505,4.059462,39.27948,3.396209
06:08:58,"(-0.01391602, -0.06054688, 1.018433)",1.061933,4.079534,41.28668,3.299185
06:08:59,"(-0.01721191, -0.05957031, 1.014404)",0.8204249,4.069499,40.28313,3.360458
06:09:00,"(-0.01538086, -0.0612793, 1.01416)",0.8688871,4.084552,41.78846,3.582409
06:09:01,"(-0.008178711, -0.05932617, 1.013184)",0.462498,4.054445,38.77776,3.53389
06:09:01,"(-0.01196289, -0.06188965, 1.015015)",0.6775341,4.054445,38.77776,3.548937
06:09:02,"(-0.01379395, -0.05859375, 1.020264)",0.7745906,4.079534,41.28668,3.286587
06:09:03,"(-0.0123291, -0.06018066, 1.016357)",0.6950023,4.079534,41.28668,3.388398
06:09:04,"(-0.0144043, -0.06115723, 1.012451)",0.8151007,4.074516,40.78491,3.488132
06:09:05,"(-0.01745605, -0.05981445, 1.011719)",0.9884752,4.084552,41.78846,3.382978
06:09:06,"(-0.01611328, -0.06140137, 1.013306)",0.9110233,4.08957,42.29028,3.467166
06:09:07,"(-0.0144043, -0.06018066, 1.013916)",0.8139233,4.074516,40.78491,3.396446
06:09:08,"(-0.01501465, -0.06201172, 1.010132)",0.8473866,4.074516,40.78491,3.502278
06:09:08,"(-0.01086426, -0.06054688, 1.017456)",0.8731549,4.084552,41.78846,3.412818
06:09:09,"(-0.01550293, -0.06335449, 1.007446)",0.5067833,4.084552,41.78846,3.48067
06:09:10,"(-0.01696777, -0.06237793, 1.011963)",0.9605991,4.084552,41.78846,3.528907
06:09:11,"(-0.01208496, -0.06115723, 1.013184)",0.6833751,4.079534,41.28668,3.469494
06:09:12,"(-0.01525879, -0.05957031, 1.021484)",0.7961081,4.084552,41.78846,3.519098
06:09:13,"(-0.01586914, -0.06066895, 1.014404)",0.8962508,4.08957,42.29028,3.42222
06:09:14,"(-0.01379395, -0.0612793, 1.013062)",0.7800967,4.08957,42.29028,3.418643
