Testing SD card write operations: 2022-06-30 10:50:05
2022-06-30 10:50:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e61375c7a5f35e0960cd94a3010817b8614c29a3c1e58f1986d4a08d345f3eb3', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e61375c7a5f35e0960cd94a3010817b8614c29a3c1e58f1986d4a08d345f3eb3', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 10:50:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '337f308fd6f54eb3957ed2b0c6b85bbea5a86364b712a42cade17d1b55350496', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e1cb739194258d529d19b24aa79f9c93f246071ce83ea2c0a466bb50224e8974', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 10:50:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df0c86b84344fc1a756f812b45b3c1cf387a8d2d13b9df8be1e6f8023994ccf', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
