Testing SD card write operations: 2022-06-30 08:16:34
2022-06-30 08:16:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'af351d10b97640df4522943910754cfe6b6694f64a3cc11fc6ab24a1', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:16:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '700271c0150010bb90d1842ad0cf7ff66da139be923d49d493d35891', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'da03c01683397aa133acd7db8f3e5fb32de9aae36541460758809461', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 08:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c92a71f4e8eee690dea004c8d3ae8473aae4f2c3636c5661a9be1e38', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
