File is openned: 2022-03-30 09:54:23
2022-03-30 09:54:24: {'Acceleration': '(0.0, 0.0, 0.9910889)', 'Roll': '9.941137', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.246247'}
2022-03-30 09:54:25: {'Acceleration': '(-0.1751709, 0.07580566, 0.9881592)', 'Roll': '10.03781', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.141716'}
2022-03-30 09:54:26: {'Acceleration': '(-0.163208, 0.07397461, 0.989624)', 'Roll': '9.364879', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.210093'}
2022-03-30 09:54:27: {'Acceleration': '(-0.1723633, 0.07397461, 0.9921875)', 'Roll': '9.536855', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.20529'}
2022-03-30 09:54:28: {'Acceleration': '(-0.1689453, 0.07141113, 0.9881592)', 'Roll': '9.702037', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.30678'}
2022-03-30 09:54:29: {'Acceleration': '(-0.1690674, 0.07067871, 0.9887695)', 'Roll': '9.703034', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.030337'}
2022-03-30 09:54:30: {'Acceleration': '(-0.1732178, 0.08813477, 1.038696)', 'Roll': '9.773064', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-6.521955'}
2022-03-30 09:54:31: {'Acceleration': '(-0.164917, 0.05566406, 0.991333)', 'Roll': '9.44516', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.50214'}
2022-03-30 09:54:32: {'Acceleration': '(-0.177002, 0.08605957, 0.9827881)', 'Roll': '10.25098', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.924954'}
2022-03-30 09:54:33: {'Acceleration': '(-0.175293, 0.08459473, 0.9855957)', 'Roll': '10.04345', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.143406'}
2022-03-30 09:54:34: {'Acceleration': '(-0.1779785, 0.08459473, 0.9868164)', 'Roll': '10.22374', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-5.070321'}
2022-03-30 09:54:35: {'Acceleration': '(-0.1761475, 0.08349609, 0.9824219)', 'Roll': '10.16508', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.782001'}
2022-03-30 09:54:36: {'Acceleration': '(-0.1783447, 0.08703613, 0.9890137)', 'Roll': '10.27676', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.823841'}
2022-03-30 09:54:37: {'Acceleration': '(-0.1767578, 0.08679199, 0.9881592)', 'Roll': '10.12932', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.712274'}
2022-03-30 09:54:38: {'Acceleration': '(-0.1782227, 0.08789063, 0.9910889)', 'Roll': '10.19427', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.988186'}
2022-03-30 09:54:40: {'Acceleration': '(-0.1783447, 0.08813477, 0.9880371)', 'Roll': '10.09665', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-5.061457'}
2022-03-30 09:54:41: {'Acceleration': '(-0.1743164, 0.0838623, 0.9842529)', 'Roll': '10.04324', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.982269'}
2022-03-30 09:54:42: {'Acceleration': '(-0.1784668, 0.08508301, 0.9969482)', 'Roll': '10.14919', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.80203'}
2022-03-30 09:54:43: {'Acceleration': '(-0.1767578, 0.08850098, 0.9844971)', 'Roll': '10.17851', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-5.056354'}
2022-03-30 09:54:44: {'Acceleration': '(-0.1789551, 0.09106445, 0.987915)', 'Roll': '10.21198', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.849913'}
