Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:54:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a66f3865712fbf5cf7d27cb1013fa1658efbf3197139ea200372edc6', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a66f3865712fbf5cf7d27cb1013fa1658efbf3197139ea200372edc6', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '380af3dd5c44106af0b6db43efecc36336c1fd002195553300b86afe', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f038e2ca06e0ea2ee2880c27991258110a62b86eea4c07efbff47bba', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-03-30 09:54:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59fc23f16d5396fcebf7569a3ce378ba189853814c9dd9a341709075', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:30: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -76, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59fc23f16d5396fcebf7569a3ce378ba189853814c9dd9a341709075', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cf8bb3b62bab4c0af33c947e1d6e4e52e3c4bcddcc8b50f9da8d6df0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a66f3865712fbf5cf7d27cb1013fa1658efbf3197139ea200372edc6', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23c4dc87ee5e5c86544f7f6065dd7612c8fdce8dd82bf9ca1221f025', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
