Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:54:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c404d3797b86', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4f0bb1a308f7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-03-30 09:54:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:30: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -76, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'41cf96835706', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'41cf96835706', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e79f5b8d26d6', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:42: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -75, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4f0bb1a308f7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-03-30 09:54:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f43b98f79489', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cc5835536116', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:58: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -75, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
