Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:54:53: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-13.33722', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.053178'}
2022-06-09 16:54:54: {'Acceleration': '(0.2258301, -0.08837891, 0.9790039)', 'Roll': '-12.9894', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.027046'}
2022-06-09 16:54:54: {'Acceleration': '(0.2276611, -0.08837891, 0.9742432)', 'Roll': '-13.33678', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.169896'}
2022-06-09 16:54:55: {'Acceleration': '(0.2282715, -0.08972168, 0.9765625)', 'Roll': '-13.15666', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.112265'}
2022-06-09 16:54:56: {'Acceleration': '(0.230835, -0.08654785, 0.9748535)', 'Roll': '-13.32167', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.967244'}
2022-06-09 16:54:57: {'Acceleration': '(0.2302246, -0.08862305, 0.9759521)', 'Roll': '-13.27327', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.050732'}
2022-06-09 16:54:58: {'Acceleration': '(0.2243652, -0.08764648, 0.9709473)', 'Roll': '-13.02336', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.027563'}
2022-06-09 16:54:59: {'Acceleration': '(0.2261963, -0.08850098, 0.9753418)', 'Roll': '-13.05692', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.051387'}
2022-06-09 16:55:00: {'Acceleration': '(0.2290039, -0.08850098, 0.9777832)', 'Roll': '-13.45764', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.190722'}
2022-06-09 16:55:00: {'Acceleration': '(0.227417, -0.08984375, 0.9770508)', 'Roll': '-13.10279', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.117755'}
2022-06-09 16:55:01: {'Acceleration': '(0.2315674, -0.08728027, 0.9752197)', 'Roll': '-12.87442', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.986538'}
2022-06-09 16:55:02: {'Acceleration': '(0.2299805, -0.08874512, 0.977417)', 'Roll': '-13.24052', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.050789'}
2022-06-09 16:55:03: {'Acceleration': '(0.2277832, -0.08837891, 0.9761963)', 'Roll': '-13.13425', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.079754'}
2022-06-09 16:55:04: {'Acceleration': '(0.2310791, -0.08862305, 0.9735107)', 'Roll': '-13.35299', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.061675'}
2022-06-09 16:55:05: {'Acceleration': '(0.2299805, -0.08666992, 0.977417)', 'Roll': '-13.24052', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.013885'}
2022-06-09 16:55:06: {'Acceleration': '(0.2266846, -0.08813477, 0.9730225)', 'Roll': '-13.48839', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.043072'}
2022-06-09 16:55:06: {'Acceleration': '(0.2244873, -0.08630371, 0.9743652)', 'Roll': '-12.97417', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.958237'}
2022-06-09 16:55:07: {'Acceleration': '(0.2286377, -0.08666992, 0.979126)', 'Roll': '-12.95392', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.902769'}
2022-06-09 16:55:08: {'Acceleration': '(0.2294922, -0.08618164, 0.9743652)', 'Roll': '-13.25332', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.920647'}
