Time,ssid,bssid,sec,channel,rssi
16:54:46,iPhone,b'\xa6\xf3\r0\x13\x1a',3,6,-48
16:54:46,INRIA-guest,"b'<Q\x0e^\x84""'",0,6,-81
16:54:46,eduroam,b'<Q\x0e^\x84 ',5,6,-82
16:54:46,INRIA,b'<Q\x0e^\x84#',0,6,-82
16:54:46,INRIA-interne,b'<Q\x0e^\x84$',5,6,-82
16:54:48,iPhone,b'\xa6\xf3\r0\x13\x1a',3,6,-48
16:54:48,INRIA-interne,b'<Q\x0e^\x83\xa4',5,1,-69
16:54:48,INRIA,b'<Q\x0e^\x83\xa3',0,1,-70
16:54:48,eduroam,b'l1\x0e\xbaT ',5,11,-71
16:54:48,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-71
16:54:48,INRIA,b'l1\x0e\xbaT#',0,11,-71
16:54:48,INRIA-interne,b'l1\x0e\xbaT$',5,11,-71
16:54:48,fun0x001f,b'$A\x8cJ\xc2R',4,1,-72
16:54:48,INRIA,b'<Q\x0e^\x84#',0,6,-81
16:54:48,INRIA-interne,b'<Q\x0e^\x84$',5,6,-81
16:54:48,INRIA-guest,"b'<Q\x0e^\x84""'",0,6,-82
16:54:48,eduroam,b'<Q\x0e^\x84 ',5,6,-83
16:54:48,lille.iot-lab,b'\x1c\xde\xa7\xe8V\xf0',3,4,-90
16:54:50,iPhone,b'\xa6\xf3\r0\x13\x1a',3,6,-45
16:54:50,eduroam,b'<Q\x0e^\x83\xa0',5,1,-71
16:54:50,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-71
16:54:50,INRIA,b'l1\x0e\xbaT#',0,11,-71
16:54:50,INRIA-interne,b'l1\x0e\xbaT$',5,11,-71
16:54:50,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-71
16:54:50,eduroam,b'l1\x0e\xbaT ',5,11,-72
16:54:50,eduroam,b'<Q\x0e^\x84 ',5,6,-82
16:54:50,INRIA-guest,"b'<Q\x0e^\x84""'",0,6,-82
16:54:50,INRIA,b'<Q\x0e^\x84#',0,6,-82
16:54:50,INRIA-interne,b'<Q\x0e^\x84$',5,6,-82
16:54:50,lille.iot-lab,b'\x1c\xde\xa7\xe8V\xf0',3,4,-87
16:54:50,INRIA-interne,b'<Q\x0eX\xdfd',5,11,-93
16:54:52,iPhone,b'\xa6\xf3\r0\x13\x1a',3,6,-45
16:54:52,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-69
16:54:52,INRIA-interne,b'<Q\x0e^\x83\xa4',5,1,-71
16:54:52,eduroam,b'<Q\x0e^\x83\xa0',5,1,-71
16:54:52,INRIA,b'<Q\x0e^\x83\xa3',0,1,-71
16:54:52,eduroam,b'l1\x0e\xbaT ',5,11,-71
16:54:52,INRIA,b'l1\x0e\xbaT#',0,11,-71
16:54:52,INRIA-interne,b'l1\x0e\xbaT$',5,11,-71
16:54:52,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-72
16:54:52,lille.iot-lab,b'\x1c\xde\xa7\xe8V\xf0',3,4,-88
16:54:54,iPhone,b'\xa6\xf3\r0\x13\x1a',3,6,-46
16:54:54,eduroam,b'l1\x0e\xbaT ',5,11,-70
16:54:54,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-70
16:54:54,INRIA,b'l1\x0e\xbaT#',0,11,-70
16:54:54,INRIA-interne,b'l1\x0e\xbaT$',5,11,-70
16:54:54,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-71
16:54:54,eduroam,b'<Q\x0e^\x83\xa0',5,1,-71
16:54:54,fun0x001f,b'$A\x8cJ\xc2R',4,1,-79
16:54:54,eduroam,b'<Q\x0e^\x84 ',5,6,-81
16:54:54,INRIA-guest,"b'<Q\x0e^\x84""'",0,6,-81
16:54:54,INRIA,b'<Q\x0e^\x84#',0,6,-81
16:54:54,INRIA-interne,b'<Q\x0e^\x84$',5,6,-81
16:54:54,lille.iot-lab,b'\x1c\xde\xa7\xe8V\xf0',3,4,-91
16:54:56,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-67
16:54:56,INRIA,b'<Q\x0e^\x83\xa3',0,1,-68
16:54:56,eduroam,b'<Q\x0e^\x83\xa0',5,1,-69
16:54:56,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-71
16:54:56,INRIA,b'l1\x0e\xbaT#',0,11,-71
16:54:56,INRIA-interne,b'l1\x0e\xbaT$',5,11,-71
16:54:56,eduroam,b'l1\x0e\xbaT ',5,11,-72
16:54:56,INRIA,b'<Q\x0eX\xdfc',0,11,-92
16:54:56,INRIA-guest,b'<Q\x0eX\xdfb',0,11,-94
16:54:58,INRIA,b'<Q\x0e^\x83\xa3',0,1,-67
16:54:58,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-68
16:54:58,INRIA-interne,b'<Q\x0e^\x83\xa4',5,1,-68
16:54:58,eduroam,b'<Q\x0e^\x83\xa0',5,1,-69
16:54:58,INRIA-guest,"b'l1\x0e\xbaT""'",0,11,-70
16:54:58,INRIA-interne,b'l1\x0e\xbaT$',5,11,-70
16:54:58,eduroam,b'l1\x0e\xbaT ',5,11,-71
16:54:58,INRIA,b'l1\x0e\xbaT#',0,11,-71
16:54:58,fun0x001f,b'$A\x8cJ\xc2R',4,1,-78
16:54:58,INRIA-guest,"b'<Q\x0e^\x84""'",0,6,-83
16:54:58,INRIA,b'<Q\x0e^\x84#',0,6,-83
16:54:58,INRIA-interne,b'<Q\x0e^\x84$',5,6,-83
16:54:58,eduroam,b'<Q\x0e^\x84 ',5,6,-84
16:54:58,eduroam,b'<Q\x0eX\xdf`',5,11,-94
16:55:01,eduroam,b'<Q\x0e^\x83\xa0',5,1,-67
16:55:01,INRIA-guest,b'<Q\x0e^\x83\xa2',0,1,-68
