Testing SD card write operations: 2022-09-13 17:38:34
2022-09-13 17:38:35: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '14.9853', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.562002'}
2022-09-13 17:38:35: {'Acceleration': '(-0.2640381, 0.02941895, 0.9862061)', 'Roll': '15.0918', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.653587'}
2022-09-13 17:38:36: {'Acceleration': '(-0.2662354, 0.02966309, 0.9830322)', 'Roll': '15.15393', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.675017'}
2022-09-13 17:38:37: {'Acceleration': '(-0.2652588, 0.03759766, 0.96875)', 'Roll': '15.31314', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.143728'}
2022-09-13 17:38:38: {'Acceleration': '(-0.3184814, 0.005737305, 0.970459)', 'Roll': '18.1686', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.3218384'}
2022-09-13 17:38:39: {'Acceleration': '(-0.3248291, -0.01037598, 0.9715576)', 'Roll': '18.29229', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.5809628'}
2022-09-13 17:38:40: {'Acceleration': '(-0.3244629, -0.009399414, 0.9581299)', 'Roll': '18.70825', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.5323678'}
2022-09-13 17:38:40: {'Acceleration': '(-0.3082275, -0.001708984, 0.965332)', 'Roll': '17.9785', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.1030989'}
2022-09-13 17:38:41: {'Acceleration': '(-0.3028564, 0.0007324219, 0.9758301)', 'Roll': '17.12723', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.2581551'}
2022-09-13 17:38:42: {'Acceleration': '(-0.3564453, 0.01855469, 0.9731445)', 'Roll': '20.11687', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.460836'}
2022-09-13 17:38:43: {'Acceleration': '(-0.4384766, 0.0111084, 0.8339844)', 'Roll': '27.73365', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.6754581'}
