Testing SD card write operations: 2022-09-14 09:38:06
2022-09-14 09:38:07: {'Acceleration': '(-0.1556396, 0.01916504, 1.004761)', 'Roll': '8.777966', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.35046'}
2022-09-14 09:38:08: {'Acceleration': '(-0.1586914, 0.02307129, 1.006836)', 'Roll': '8.956929', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.204826'}
2022-09-14 09:38:09: {'Acceleration': '(-0.1564941, 0.02258301, 1.005371)', 'Roll': '8.847549', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.432545'}
2022-09-14 09:38:10: {'Acceleration': '(-0.1564941, 0.02172852, 1.004639)', 'Roll': '8.853898', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.31095'}
2022-09-14 09:38:11: {'Acceleration': '(-0.1567383, 0.02111816, 1.005737)', 'Roll': '8.857958', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.18856'}
2022-09-14 09:38:12: {'Acceleration': '(-0.1578369, 0.01855469, 1.004395)', 'Roll': '8.930784', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-1.045506'}
2022-09-14 09:38:12: {'Acceleration': '(-0.159668, 0.02294922, 1.008667)', 'Roll': '8.995057', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.287347'}
2022-09-14 09:38:13: {'Acceleration': '(-0.1566162, 0.02282715, 1.004883)', 'Roll': '8.995895', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.191146'}
2022-09-14 09:38:14: {'Acceleration': '(-0.1574707, 0.02441406, 1.009766)', 'Roll': '8.786903', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.167754'}
2022-09-14 09:38:15: {'Acceleration': '(-0.1561279, 0.02172852, 1.007935)', 'Roll': '8.737812', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.393186'}
2022-09-14 09:38:16: {'Acceleration': '(-0.1542969, 0.02307129, 1.008179)', 'Roll': '8.701324', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.238189'}
2022-09-14 09:38:17: {'Acceleration': '(-0.1586914, 0.02368164, 1.004883)', 'Roll': '8.974056', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.452709'}
2022-09-14 09:38:17: {'Acceleration': '(-0.1594238, 0.02575684, 1.008911)', 'Roll': '8.979389', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.444491'}
2022-09-14 09:38:18: {'Acceleration': '(-0.157959, 0.02246094, 1.009033)', 'Roll': '8.897151', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.259847'}
2022-09-14 09:38:19: {'Acceleration': '(-0.1619873, 0.02392578, 1.011108)', 'Roll': '9.101877', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.338471'}
2022-09-14 09:38:20: {'Acceleration': '(-0.1619873, 0.02624512, 1.012451)', 'Roll': '9.090007', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.466269'}
2022-09-14 09:38:21: {'Acceleration': '(-0.1604004, 0.02307129, 1.013306)', 'Roll': '8.994955', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.28827'}
2022-09-14 09:38:22: {'Acceleration': '(-0.1557617, 0.02246094, 1.00061)', 'Roll': '8.878551', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.331341'}
2022-09-14 09:38:22: {'Acceleration': '(-0.1556396, 0.0246582, 1.006226)', 'Roll': '8.80105', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.367211'}
2022-09-14 09:38:23: {'Acceleration': '(-0.157959, 0.02294922, 1.01123)', 'Roll': '8.878127', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.23136'}
2022-09-14 09:38:24: {'Acceleration': '(-0.1560059, 0.02062988, 1.005737)', 'Roll': '8.817218', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.161215'}
2022-09-14 09:38:25: {'Acceleration': '(-0.1575928, 0.02111816, 1.010986)', 'Roll': '8.859976', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.29067'}
2022-09-14 09:38:26: {'Acceleration': '(-0.1549072, 0.02429199, 1.004395)', 'Roll': '8.767614', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.369285'}
2022-09-14 09:38:27: {'Acceleration': '(-0.1546631, 0.02453613, 0.9986572)', 'Roll': '8.803517', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.39085'}
2022-09-14 09:38:27: {'Acceleration': '(-0.1561279, 0.0246582, 1.006226)', 'Roll': '8.819795', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.387196'}
2022-09-14 09:38:28: {'Acceleration': '(-0.1604004, 0.02502441, 1.006714)', 'Roll': '9.05288', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.406208'}
2022-09-14 09:38:29: {'Acceleration': '(-0.1583252, 0.02368164, 1.015015)', 'Roll': '8.825367', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.422803'}
2022-09-14 09:38:30: {'Acceleration': '(-0.1644287, 0.02514648, 1.010864)', 'Roll': '9.238901', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.40653'}
2022-09-14 09:38:31: {'Acceleration': '(-0.1602783, 0.02307129, 1.005981)', 'Roll': '9.106816', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.297243'}
2022-09-14 09:38:32: {'Acceleration': '(-0.1577148, 0.02453613, 1.003906)', 'Roll': '8.902451', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.486581'}
2022-09-14 09:38:32: {'Acceleration': '(-0.1586914, 0.0234375, 1.003174)', 'Roll': '8.839566', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.432999'}
2022-09-14 09:38:33: {'Acceleration': '(-0.1607666, 0.02246094, 1.00354)', 'Roll': '8.850394', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.350141'}
2022-09-14 09:38:34: {'Acceleration': '(-0.1568604, 0.02453613, 1.004639)', 'Roll': '8.853115', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.255303'}
2022-09-14 09:38:35: {'Acceleration': '(-0.1574707, 0.0255127, 1.005859)', 'Roll': '8.960078', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.268682'}
2022-09-14 09:38:36: {'Acceleration': '(-0.1583252, 0.02478027, 1.002686)', 'Roll': '8.916256', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.372274'}
2022-09-14 09:38:37: {'Acceleration': '(-0.15625, 0.02441406, 1.003174)', 'Roll': '8.818626', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.240928'}
2022-09-14 09:38:37: {'Acceleration': '(-0.1563721, 0.02185059, 1.005615)', 'Roll': '8.862998', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.446963'}
2022-09-14 09:38:38: {'Acceleration': '(-0.1544189, 0.02319336, 1.006714)', 'Roll': '8.867974', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.29386'}
2022-09-14 09:38:39: {'Acceleration': '(-0.1546631, 0.02246094, 1.003784)', 'Roll': '8.751916', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.265738'}
2022-09-14 09:38:40: {'Acceleration': '(-0.1563721, 0.02392578, 1.004883)', 'Roll': '8.844985', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.363764'}
2022-09-14 09:38:41: {'Acceleration': '(-0.1542969, 0.02294922, 1.004517)', 'Roll': '8.732557', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.257063'}
2022-09-14 09:38:42: {'Acceleration': '(-0.1585693, 0.02514648, 1.018188)', 'Roll': '8.85195', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.282685'}
2022-09-14 09:38:43: {'Acceleration': '(-0.154541, 0.02294922, 1.005371)', 'Roll': '8.738843', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.329759'}
2022-09-14 09:38:43: {'Acceleration': '(-0.1557617, 0.02526855, 1.010498)', 'Roll': '8.762804', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.308846'}
2022-09-14 09:38:44: {'Acceleration': '(-0.1550293, 0.02331543, 1.005737)', 'Roll': '8.762884', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.312521'}
2022-09-14 09:38:45: {'Acceleration': '(-0.1549072, 0.02294922, 1.004517)', 'Roll': '8.766565', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.293469'}
2022-09-14 09:38:46: {'Acceleration': '(-0.1585693, 0.02453613, 1.006226)', 'Roll': '8.955493', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.379821'}
2022-09-14 09:38:47: {'Acceleration': '(-0.1530762, 0.02209473, 1.003906)', 'Roll': '8.669711', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.246403'}
2022-09-14 09:38:48: {'Acceleration': '(-0.1539307, 0.0213623, 0.9984131)', 'Roll': '8.764585', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.211419'}
2022-09-14 09:38:48: {'Acceleration': '(-0.1574707, 0.02319336, 1.011841)', 'Roll': '8.845863', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.297487'}
2022-09-14 09:38:49: {'Acceleration': '(-0.159668, 0.02441406, 1.014526)', 'Roll': '8.943949', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.361773'}
2022-09-14 09:38:50: {'Acceleration': '(-0.152832, 0.02246094, 0.9986572)', 'Roll': '8.700897', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.273607'}
2022-09-14 09:38:51: {'Acceleration': '(-0.1558838, 0.02319336, 1.011597)', 'Roll': '8.760189', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.298101'}
2022-09-14 09:38:52: {'Acceleration': '(-0.1530762, 0.02099609, 1.001221)', 'Roll': '8.89728', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.331755'}
2022-09-14 09:38:53: {'Acceleration': '(-0.1561279, 0.02258301, 1.00708)', 'Roll': '8.890233', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.364109'}
2022-09-14 09:38:53: {'Acceleration': '(-0.1568604, 0.02429199, 1.0)', 'Roll': '8.839689', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.375033'}
2022-09-14 09:38:54: {'Acceleration': '(-0.1514893, 0.02270508, 1.008423)', 'Roll': '8.861828', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.404563'}
2022-09-14 09:38:55: {'Acceleration': '(-0.1485596, 0.0246582, 0.9968262)', 'Roll': '8.702292', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.346107'}
2022-09-14 09:38:56: {'Acceleration': '(-0.1558838, 0.02258301, 1.009399)', 'Roll': '8.984015', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.334658'}
2022-09-14 09:38:57: {'Acceleration': '(-0.1519775, 0.02331543, 1.001343)', 'Roll': '8.876019', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.229564'}
2022-09-14 09:38:58: {'Acceleration': '(-0.1558838, 0.02380371, 1.004883)', 'Roll': '8.683329', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.342728'}
2022-09-14 09:38:58: {'Acceleration': '(-0.1531982, 0.02355957, 1.009644)', 'Roll': '8.763339', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.327972'}
2022-09-14 09:38:59: {'Acceleration': '(-0.1512451, 0.02050781, 1.008911)', 'Roll': '8.911742', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.383159'}
2022-09-14 09:39:00: {'Acceleration': '(-0.1566162, 0.02246094, 1.005859)', 'Roll': '8.822954', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.188528'}
2022-09-14 09:39:01: {'Acceleration': '(-0.1536865, 0.02172852, 1.01416)', 'Roll': '8.779615', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.244222'}
2022-09-14 09:39:02: {'Acceleration': '(-0.1540527, 0.0213623, 1.008667)', 'Roll': '8.774777', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.177783'}
2022-09-14 09:39:03: {'Acceleration': '(-0.1529541, 0.02502441, 1.000854)', 'Roll': '8.811851', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.323195'}
2022-09-14 09:39:03: {'Acceleration': '(-0.1529541, 0.02246094, 1.008911)', 'Roll': '8.776374', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.260412'}
2022-09-14 09:39:04: {'Acceleration': '(-0.1540527, 0.02233887, 1.003418)', 'Roll': '8.632992', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.260907'}
