Testing SD card write operations: 2022-09-15 10:12:22
2022-09-15 10:12:23: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '22.23638', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.2868194'}
2022-09-15 10:12:24: {'Acceleration': '(-0.3873291, -0.001464844, 0.9381104)', 'Roll': '22.05803', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.2487519'}
2022-09-15 10:12:25: {'Acceleration': '(-0.220459, 0.007202148, 0.9943848)', 'Roll': '12.37782', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.06171737'}
2022-09-15 10:12:26: {'Acceleration': '(-0.2189941, 0.003173828, 0.9975586)', 'Roll': '12.38174', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.01374786'}
2022-09-15 10:12:27: {'Acceleration': '(-0.2211914, 0.006469727, 0.9952393)', 'Roll': '12.5303', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.02734165'}
2022-09-15 10:12:27: {'Acceleration': '(-0.3083496, -0.0168457, 0.9902344)', 'Roll': '17.29609', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.9305492'}
2022-09-15 10:12:28: {'Acceleration': '(-0.3951416, -0.01257324, 0.9458008)', 'Roll': '22.67445', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.7027708'}
2022-09-15 10:12:29: {'Acceleration': '(-0.4013672, -0.01477051, 0.9471436)', 'Roll': '22.96558', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.8226387'}
2022-09-15 10:12:30: {'Acceleration': '(-0.3885498, -0.01391602, 0.9584961)', 'Roll': '22.06637', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.7708736'}
2022-09-15 10:12:31: {'Acceleration': '(-0.3710938, -0.01904297, 0.9555664)', 'Roll': '21.38249', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.8382502'}
2022-09-15 10:12:32: {'Acceleration': '(-0.3634033, -0.01782227, 0.9664307)', 'Roll': '20.47974', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '0.8577939'}
2022-09-15 10:12:32: {'Acceleration': '(-0.260376, -0.0135498, 0.9932861)', 'Roll': '14.68879', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.7161961'}
2022-09-15 10:12:33: {'Acceleration': '(-0.206543, -0.002075195, 0.9997559)', 'Roll': '11.67271', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.03428228'}
2022-09-15 10:12:34: {'Acceleration': '(-0.2055664, -0.002685547, 0.996582)', 'Roll': '11.65502', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.07521219'}
