Testing SD card write operations: 2022-09-20 17:01:40
2022-09-20 17:01:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d3132f33787498a3212d98479073a00c640fd6bf774a1cecf63b1c5', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d32eb54aa4707be8d03630045d9800dac8f2a0250e6d7d41c7b7e0f', 'rssi': -80, 'name': 'Ob80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d3132f33787498a3212d98479073a00c640fd6bf774a1cecf63b1c5', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c40dc5642fa4ef16cbdb7a3a0922a50e79b58402c36ddcee6272951', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 17:01:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:01:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c40dc5642fa4ef16cbdb7a3a0922a50e79b58402c36ddcee6272951', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
