Testing SD card write operations: 2023-01-10 12:13:53
2023-01-10 12:13:54: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'fae3caeafd1b2e4a56bd6fe436c8d1f775f689a2377ac24fac2b5c90', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:55: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:55: {'name': None, 'adv_flag': 26, 'rssi': -46, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '894970f70d38df130afdabe5e4dde6cc5bddc27e9e0d847582afdce1', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:56: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:57: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:58: {'name': None, 'adv_flag': None, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:59: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:13:59: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:00: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:01: {'name': None, 'adv_flag': None, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:02: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'e3e1d3b52f614fea29834c9ca993aa5a08f34ee25c44dc0194d3209c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:02: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '633bd04cf8ea506c7d9864cb350c2b2900ddc111093184567e0b66f9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:03: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '165411f552017b4d46168af6515dd93de8984959e38710a221fd639a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:04: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'fae3caeafd1b2e4a56bd6fe436c8d1f775f689a2377ac24fac2b5c90', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:05: {'name': None, 'adv_flag': None, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:06: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:06: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '707e40ee6acef04eb7517447b661610934c97d64dd7106277dc67ab2', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:07: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '87045b8d574724bc1a7e801d315daf90da264efc91bd42ed8e34dd0f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:08: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:09: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:09: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
