Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
10:49:15,"(-0.4974365, 0.859375, -0.1767578)",109.562,4.546201,87.95336,-58.43791
10:49:16,"(-0.4954834, 0.8609619, -0.1749268)",109.4452,4.541183,87.45158,-58.58006
10:49:17,"(-0.4976807, 0.8618164, -0.1759033)",109.4658,4.546201,87.95336,-58.60779
10:49:18,"(-0.4945068, 0.8607178, -0.1790771)",109.3675,4.546201,87.95336,-58.62646
10:49:19,"(-0.4969482, 0.8609619, -0.1793213)",109.0212,4.536165,86.94976,-58.65699
10:49:20,"(-0.4969482, 0.8592529, -0.1765137)",109.4923,4.546201,87.95336,-58.44421
10:49:21,"(-0.4960938, 0.8581543, -0.1741943)",109.7248,4.546201,87.95336,-58.37571
10:49:22,"(-0.4976807, 0.8587646, -0.1784668)",109.7277,4.541183,87.45158,-58.38081
10:49:23,"(-0.4938965, 0.8615723, -0.1810303)",110.1296,4.541183,87.45158,-58.59407
10:49:24,"(-0.4984131, 0.8599854, -0.1743164)",109.2769,4.546201,87.95336,-58.52594
10:49:25,"(-0.4968262, 0.8596191, -0.1782227)",109.734,4.541183,87.45158,-58.58683
10:49:26,"(-0.4990234, 0.8591309, -0.1762695)",109.4998,4.541183,87.45158,-58.5073
10:49:27,"(-0.4992676, 0.8583984, -0.1711426)",108.9211,4.546201,87.95336,-58.41474
10:49:28,"(-0.4975586, 0.8592529, -0.1690674)",108.7674,4.541183,87.45158,-58.55106
10:49:29,"(-0.5003662, 0.8586426, -0.1757813)",109.3566,4.541183,87.45158,-58.29825
10:49:30,"(-0.5004883, 0.8565674, -0.1737061)",109.1405,4.541183,87.45158,-58.48163
10:49:32,"(-0.4993896, 0.8579102, -0.173584)",109.1671,4.546201,87.95336,-58.29526
10:49:33,"(-0.4991455, 0.8583984, -0.171875)",108.6742,4.546201,87.95336,-58.44694
10:49:34,"(-0.5032959, 0.8580322, -0.1732178)",108.6228,4.541183,87.45158,-58.32745
10:49:35,"(-0.4991455, 0.8564453, -0.171875)",108.9704,4.546201,87.95336,-58.31138
10:49:36,"(-0.4987793, 0.8590088, -0.1773682)",109.5756,4.516094,84.94266,-58.35592
10:49:37,"(-0.5015869, 0.8569336, -0.1705322)",108.7773,4.546201,87.95336,-58.27432
10:49:38,"(-0.5023193, 0.8572998, -0.1748047)",109.1876,4.546201,87.95336,-58.18467
10:49:39,"(-0.5021973, 0.855957, -0.1723633)",108.9432,4.546201,87.95336,-58.23823
10:49:40,"(-0.5039063, 0.8585205, -0.1724854)",109.166,4.541183,87.45158,-58.15686
10:49:41,"(-0.5008545, 0.8599854, -0.1744385)",109.1159,4.541183,87.45158,-58.15328
10:49:42,"(-0.5040283, 0.8583984, -0.1694336)",108.5805,4.546201,87.95336,-58.2234
10:49:43,"(-0.5009766, 0.8583984, -0.1678467)",108.5228,4.546201,87.95336,-58.38759
10:49:44,"(-0.5134277, 0.8537598, -0.1359863)",104.8347,4.541183,87.45158,-57.92516
10:49:45,"(-0.4069824, 0.907959, -0.1625977)",112.526,4.541183,87.45158,-64.85716
10:49:46,"(-0.1750488, 0.9484863, -0.2253418)",142.1594,4.546201,87.95336,-73.25655
10:49:47,"(-0.2202148, 0.9624023, -0.1739502)",128.3056,4.541183,87.45158,-73.88786
10:49:48,"(-0.2410889, 0.9519043, -0.2064209)",131.8185,4.546201,87.95336,-71.17403
10:49:49,"(-0.3178711, 0.9343262, -0.2036133)",122.6417,4.546201,87.95336,-67.99999
10:49:50,"(-0.4383545, 0.8875732, -0.1783447)",115.5543,4.546201,87.95336,-62.3515
10:49:51,"(-0.427124, 0.8927002, -0.1807861)",112.9412,4.546201,87.95336,-62.54554
10:49:52,"(-0.4295654, 0.8946533, -0.1761475)",112.2965,4.551219,88.45518,-62.71513
10:49:53,"(-0.4311523, 0.8935547, -0.1801758)",111.5886,4.541183,87.45158,-62.62217
10:49:54,"(-0.4337158, 0.8920898, -0.1790771)",112.4353,4.541183,87.45158,-62.25603
10:49:56,"(-0.4302979, 0.8946533, -0.1751709)",111.6261,4.546201,87.95336,-62.47718
10:49:57,"(-0.4375, 0.8980713, -0.1750488)",111.8069,4.541183,87.45158,-62.3139
10:49:58,"(-0.4394531, 0.9066162, -0.1253662)",106.1985,4.541183,87.45158,-63.75915
10:49:59,"(-0.4969482, 0.9500732, -0.1520996)",107.0176,4.546201,87.95336,-61.32071
10:50:00,"(-0.4394531, 0.8829346, -0.2047119)",115.537,4.546201,87.95336,-60.96732
10:50:01,"(-0.4368896, 0.8797607, -0.2076416)",115.4204,4.546201,87.95336,-61.19649
10:50:02,"(-0.4406738, 0.8835449, -0.2075195)",114.5371,4.546201,87.95336,-61.28391
10:50:03,"(-0.4458008, 0.881958, -0.2042236)",114.6128,4.546201,87.95336,-60.92674
10:50:04,"(-0.4910889, 0.9104004, 0.01843262)",87.85046,4.546201,87.95336,-64.64171
10:50:05,"(-0.3936768, 0.8962402, -0.3018799)",127.4818,4.546201,87.95336,-61.03407
10:50:06,"(-0.4342041, 0.8664551, -0.2830811)",123.1025,4.531147,86.44797,-59.57055
10:50:07,"(-0.4091797, 0.8729248, -0.2943115)",125.1134,4.546201,87.95336,-60.33118
10:50:08,"(-0.3525391, 0.9194336, -0.2752686)",127.9833,4.546201,87.95336,-64.05847
