Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
10:49:15,,3,d21facb524ccc68c0025b0db17380f31bb6dcb105198d5e37ede04ed,-82,,3,64,,3
10:49:15,26,3,aa57c616dd2766b8e4675c575a4653e49813cd0e766f7540aa7ffb51,-88,,3,64,8,3
10:49:16,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-87,,3,64,,3
10:49:17,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-85,,3,64,12,3
10:49:18,26,3,c9cb9f006c1bf77c1b394c96667a478820110c2b709935602b844cfa,-88,,3,64,26,3
10:49:18,,3,fe3e59439c405b9cedee45f8b2c0b9ce467e25ca5aab0b313929dce3,-93,,3,64,,3
10:49:19,26,3,c9cb9f006c1bf77c1b394c96667a478820110c2b709935602b844cfa,-90,,3,64,26,3
10:49:20,,3,a3aba67fb7dfdeca14908c13b2c62e051b1aaa65bc708effc357b4af,-69,,3,64,,3
10:49:21,26,3,525d99601379ab051f11f3b36cff52f47c461d359c10bdc7877482e2,-86,,3,64,12,3
10:49:22,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-86,,3,64,,3
10:49:22,,3,ff1dfeb35c16cc3edb33eae138ec9fc72859c68cc4ae21399894884c,-85,,3,64,,3
10:49:23,6,3,e04e001625e6244a7868515d98473fd4d16e48ff1849964bd07bbe45,-84,,3,64,,3
10:49:24,,3,d21facb524ccc68c0025b0db17380f31bb6dcb105198d5e37ede04ed,-87,,3,64,,3
10:49:25,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-88,,3,64,,3
10:49:26,,3,c1335834bb05a89493c14e2ff01b10a607e3deffbac3cd2d3e3b8a98,-87,,3,64,,3
10:49:26,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-89,,3,64,12,3
10:49:27,6,3,e04e001625e6244a7868515d98473fd4d16e48ff1849964bd07bbe45,-84,,3,64,,3
10:49:28,26,3,181efe564d58676e7a27b96c8e39b736bd8dbc96b49c3067e0969293,-83,,3,64,12,3
10:49:29,6,3,e04e001625e6244a7868515d98473fd4d16e48ff1849964bd07bbe45,-88,,3,64,,3
10:49:30,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-84,,3,64,,3
10:49:30,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-86,,3,64,12,3
10:49:31,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-64,,3,64,12,3
10:49:32,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-88,,3,64,,3
10:49:33,,3,ff1dfeb35c16cc3edb33eae138ec9fc72859c68cc4ae21399894884c,-88,,3,64,,3
10:49:34,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-87,,3,64,,3
10:49:34,26,3,c9cb9f006c1bf77c1b394c96667a478820110c2b709935602b844cfa,-96,,3,64,26,3
10:49:35,,3,d21facb524ccc68c0025b0db17380f31bb6dcb105198d5e37ede04ed,-86,,3,64,,3
10:49:36,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-85,,3,64,12,3
10:49:37,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-61,,3,64,12,3
10:49:38,26,3,525d99601379ab051f11f3b36cff52f47c461d359c10bdc7877482e2,-88,,3,64,12,3
10:49:38,,3,8c48726acd6b133738f3e605f3b520de49063b741f7207103816ad83,-95,,3,64,,3
10:49:39,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-63,,3,64,12,3
10:49:40,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-92,,3,64,12,3
10:49:41,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-91,,3,64,,3
10:49:42,,3,a8fe664cddb2f23c52d5860aaf30fb6791888ecff08f90fa328adf20,-95,,3,64,,3
10:49:42,,3,a3aba67fb7dfdeca14908c13b2c62e051b1aaa65bc708effc357b4af,-61,,3,64,,3
10:49:43,,3,d21facb524ccc68c0025b0db17380f31bb6dcb105198d5e37ede04ed,-83,,3,64,,3
10:49:44,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-90,,3,64,,3
10:49:45,,3,06aa8f1c25ea61aa0b1bdd58c371d027c2e5c8e6331daaa65c573232,-91,,3,64,,3
10:49:46,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-66,,3,64,12,3
10:49:46,,3,a3aba67fb7dfdeca14908c13b2c62e051b1aaa65bc708effc357b4af,-75,,3,64,,3
10:49:47,,3,4a76fcc759c1fe721aec3e4e84ac8b57f15af17afd1cf106ad62066e,-53,,3,64,,3
10:49:48,26,3,181efe564d58676e7a27b96c8e39b736bd8dbc96b49c3067e0969293,-88,,3,64,12,3
10:49:49,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-63,,3,64,12,3
10:49:50,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-61,,3,64,12,3
10:49:50,,3,a3aba67fb7dfdeca14908c13b2c62e051b1aaa65bc708effc357b4af,-69,,3,64,,3
10:49:51,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-60,,3,64,12,3
10:49:52,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-73,,3,64,12,3
10:49:53,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-50,,3,64,12,3
10:49:54,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-86,,3,64,,3
10:49:54,,3,743a4795fc7fe8dc5de9028da0578d7944e037e7d80871881c258b62,-93,,3,64,,3
10:49:55,,3,06aa8f1c25ea61aa0b1bdd58c371d027c2e5c8e6331daaa65c573232,-91,,3,64,,3
10:49:56,,3,c1335834bb05a89493c14e2ff01b10a607e3deffbac3cd2d3e3b8a98,-88,,3,64,,3
10:49:57,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-73,,3,64,12,3
10:49:58,,3,4a76fcc759c1fe721aec3e4e84ac8b57f15af17afd1cf106ad62066e,-68,,3,64,,3
10:49:58,,3,89d9f32b29d7c35c4ff4e18c406c998de2d0c9112684df2d11299066,-95,,3,64,,3
10:49:59,,3,89d9f32b29d7c35c4ff4e18c406c998de2d0c9112684df2d11299066,-99,,3,64,,3
10:50:00,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-72,,3,64,12,3
10:50:01,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-68,,3,64,12,3
10:50:01,,3,4a76fcc759c1fe721aec3e4e84ac8b57f15af17afd1cf106ad62066e,-70,,3,64,,3
10:50:02,26,3,c786e1af5d0fd5e5227a9b4bd7046ab319c294c70c2b326db80ee501,-85,,3,64,12,3
10:50:03,,3,fe3e59439c405b9cedee45f8b2c0b9ce467e25ca5aab0b313929dce3,-95,,3,64,,3
10:50:04,26,3,efeb5251f3a5e8ef49881f62b116f44b398e083c448a6408104fd30a,-70,,3,64,12,3
10:50:05,26,3,56c629cb96c086024596fdedd7fa9ba622677810b6404c2badc22e28,-93,,3,64,,3
