Time,ssid,bssid,sec,channel,rssi
10:49:15,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-53
10:49:15,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-54
10:49:15,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-55
10:49:15,R13,b9b4ce3e5ea002e7bb6db8f4f5146218fc312f49d86be57c35178917,4,4,-92
10:49:17,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-53
10:49:17,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-53
10:49:21,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-51
10:49:21,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-51
10:49:21,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-51
10:49:22,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:22,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-52
10:49:22,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-68
10:49:22,R13,b9b4ce3e5ea002e7bb6db8f4f5146218fc312f49d86be57c35178917,4,4,-92
10:49:24,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-50
10:49:24,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-51
10:49:24,R10,47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777,3,1,-87
10:49:24,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-88
10:49:26,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-51
10:49:26,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:26,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-60
10:49:26,R10,47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777,3,1,-83
10:49:28,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-51
10:49:28,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:28,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-54
10:49:30,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-51
10:49:30,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:30,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-58
10:49:32,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-48
10:49:32,R14,437458f1436d51899bc2b069630b3a4369b5fdf42068abe2f19f0de2,2,11,-97
10:49:34,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-36
10:49:34,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-53
10:49:34,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-53
10:49:36,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-51
10:49:36,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-54
10:49:36,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-56
10:49:36,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-84
10:49:38,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-42
10:49:38,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:38,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-53
10:49:39,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-43
10:49:39,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-52
10:49:41,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-42
10:49:43,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-54
10:49:43,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-54
10:49:43,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-58
10:49:43,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-88
10:49:45,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-46
10:49:45,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-56
10:49:45,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-79
10:49:45,R10,47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777,3,1,-79
10:49:47,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-49
10:49:47,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-55
10:49:47,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-55
10:49:47,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-77
10:49:47,R10,47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777,3,1,-77
10:49:49,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-50
10:49:49,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-55
10:49:49,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-55
10:49:51,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-49
10:49:51,R12,3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed,3,1,-76
10:49:51,R10,47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777,3,1,-76
10:49:53,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-55
10:49:53,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-55
10:49:53,R15,cb9e00fe524f9c87e4ec36deb0211ca53f634a4f681161f1ebfc184d,3,11,-88
10:49:55,R11,072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3,3,6,-50
10:49:55,R10,cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0,3,1,-53
10:49:55,R12,7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954,3,1,-54
