File is openned: 2022-05-22 10:48:46
2022-05-22 10:49:15: {'Acceleration': '(-0.4974365, 0.859375, -0.1767578)', 'Roll': '109.562', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.43791'}
2022-05-22 10:49:16: {'Acceleration': '(-0.4954834, 0.8609619, -0.1749268)', 'Roll': '109.4452', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.58006'}
2022-05-22 10:49:17: {'Acceleration': '(-0.4976807, 0.8618164, -0.1759033)', 'Roll': '109.4658', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.60779'}
2022-05-22 10:49:18: {'Acceleration': '(-0.4945068, 0.8607178, -0.1790771)', 'Roll': '109.3675', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.62646'}
2022-05-22 10:49:19: {'Acceleration': '(-0.4969482, 0.8609619, -0.1793213)', 'Roll': '109.0212', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-58.65699'}
2022-05-22 10:49:20: {'Acceleration': '(-0.4969482, 0.8592529, -0.1765137)', 'Roll': '109.4923', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.44421'}
2022-05-22 10:49:21: {'Acceleration': '(-0.4960938, 0.8581543, -0.1741943)', 'Roll': '109.7248', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.37571'}
2022-05-22 10:49:22: {'Acceleration': '(-0.4976807, 0.8587646, -0.1784668)', 'Roll': '109.7277', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.38081'}
2022-05-22 10:49:23: {'Acceleration': '(-0.4938965, 0.8615723, -0.1810303)', 'Roll': '110.1296', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.59407'}
2022-05-22 10:49:24: {'Acceleration': '(-0.4984131, 0.8599854, -0.1743164)', 'Roll': '109.2769', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.52594'}
2022-05-22 10:49:25: {'Acceleration': '(-0.4968262, 0.8596191, -0.1782227)', 'Roll': '109.734', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.58683'}
2022-05-22 10:49:26: {'Acceleration': '(-0.4990234, 0.8591309, -0.1762695)', 'Roll': '109.4998', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.5073'}
2022-05-22 10:49:27: {'Acceleration': '(-0.4992676, 0.8583984, -0.1711426)', 'Roll': '108.9211', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.41474'}
2022-05-22 10:49:28: {'Acceleration': '(-0.4975586, 0.8592529, -0.1690674)', 'Roll': '108.7674', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.55106'}
2022-05-22 10:49:29: {'Acceleration': '(-0.5003662, 0.8586426, -0.1757813)', 'Roll': '109.3566', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.29825'}
2022-05-22 10:49:30: {'Acceleration': '(-0.5004883, 0.8565674, -0.1737061)', 'Roll': '109.1405', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.48163'}
2022-05-22 10:49:32: {'Acceleration': '(-0.4993896, 0.8579102, -0.173584)', 'Roll': '109.1671', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.29526'}
2022-05-22 10:49:33: {'Acceleration': '(-0.4991455, 0.8583984, -0.171875)', 'Roll': '108.6742', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.44694'}
2022-05-22 10:49:34: {'Acceleration': '(-0.5032959, 0.8580322, -0.1732178)', 'Roll': '108.6228', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.32745'}
2022-05-22 10:49:35: {'Acceleration': '(-0.4991455, 0.8564453, -0.171875)', 'Roll': '108.9704', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.31138'}
2022-05-22 10:49:36: {'Acceleration': '(-0.4987793, 0.8590088, -0.1773682)', 'Roll': '109.5756', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-58.35592'}
2022-05-22 10:49:37: {'Acceleration': '(-0.5015869, 0.8569336, -0.1705322)', 'Roll': '108.7773', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.27432'}
2022-05-22 10:49:38: {'Acceleration': '(-0.5023193, 0.8572998, -0.1748047)', 'Roll': '109.1876', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.18467'}
2022-05-22 10:49:39: {'Acceleration': '(-0.5021973, 0.855957, -0.1723633)', 'Roll': '108.9432', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.23823'}
2022-05-22 10:49:40: {'Acceleration': '(-0.5039063, 0.8585205, -0.1724854)', 'Roll': '109.166', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.15686'}
2022-05-22 10:49:41: {'Acceleration': '(-0.5008545, 0.8599854, -0.1744385)', 'Roll': '109.1159', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-58.15328'}
2022-05-22 10:49:42: {'Acceleration': '(-0.5040283, 0.8583984, -0.1694336)', 'Roll': '108.5805', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.2234'}
2022-05-22 10:49:43: {'Acceleration': '(-0.5009766, 0.8583984, -0.1678467)', 'Roll': '108.5228', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-58.38759'}
2022-05-22 10:49:44: {'Acceleration': '(-0.5134277, 0.8537598, -0.1359863)', 'Roll': '104.8347', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-57.92516'}
2022-05-22 10:49:45: {'Acceleration': '(-0.4069824, 0.907959, -0.1625977)', 'Roll': '112.526', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-64.85716'}
2022-05-22 10:49:46: {'Acceleration': '(-0.1750488, 0.9484863, -0.2253418)', 'Roll': '142.1594', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-73.25655'}
2022-05-22 10:49:47: {'Acceleration': '(-0.2202148, 0.9624023, -0.1739502)', 'Roll': '128.3056', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-73.88786'}
2022-05-22 10:49:48: {'Acceleration': '(-0.2410889, 0.9519043, -0.2064209)', 'Roll': '131.8185', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-71.17403'}
2022-05-22 10:49:49: {'Acceleration': '(-0.3178711, 0.9343262, -0.2036133)', 'Roll': '122.6417', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-67.99999'}
2022-05-22 10:49:50: {'Acceleration': '(-0.4383545, 0.8875732, -0.1783447)', 'Roll': '115.5543', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-62.3515'}
2022-05-22 10:49:51: {'Acceleration': '(-0.427124, 0.8927002, -0.1807861)', 'Roll': '112.9412', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-62.54554'}
2022-05-22 10:49:52: {'Acceleration': '(-0.4295654, 0.8946533, -0.1761475)', 'Roll': '112.2965', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-62.71513'}
2022-05-22 10:49:53: {'Acceleration': '(-0.4311523, 0.8935547, -0.1801758)', 'Roll': '111.5886', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-62.62217'}
2022-05-22 10:49:54: {'Acceleration': '(-0.4337158, 0.8920898, -0.1790771)', 'Roll': '112.4353', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-62.25603'}
2022-05-22 10:49:56: {'Acceleration': '(-0.4302979, 0.8946533, -0.1751709)', 'Roll': '111.6261', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-62.47718'}
2022-05-22 10:49:57: {'Acceleration': '(-0.4375, 0.8980713, -0.1750488)', 'Roll': '111.8069', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-62.3139'}
2022-05-22 10:49:58: {'Acceleration': '(-0.4394531, 0.9066162, -0.1253662)', 'Roll': '106.1985', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-63.75915'}
2022-05-22 10:49:59: {'Acceleration': '(-0.4969482, 0.9500732, -0.1520996)', 'Roll': '107.0176', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.32071'}
2022-05-22 10:50:00: {'Acceleration': '(-0.4394531, 0.8829346, -0.2047119)', 'Roll': '115.537', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-60.96732'}
2022-05-22 10:50:01: {'Acceleration': '(-0.4368896, 0.8797607, -0.2076416)', 'Roll': '115.4204', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.19649'}
2022-05-22 10:50:02: {'Acceleration': '(-0.4406738, 0.8835449, -0.2075195)', 'Roll': '114.5371', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-61.28391'}
