Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:49:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7e154598f6d9fe750e00e80c5ef604ed071f4599422d777e531a44701f1463e6', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'af20fd8b6463c15c85f9564619ed82be713b378a4584bf334be2ede929e8e9b8', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-22 10:49:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0d91763926ba4f641172f1e946f3fd978e4542543578d81e4d90553c9b74ba93', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-22 10:49:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8a22cc0f034c2114fdf7072d1c1df5fbf91fe6d1b17b0abdfdebe81794863502', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0d91763926ba4f641172f1e946f3fd978e4542543578d81e4d90553c9b74ba93', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-22 10:49:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57ca787da24ceb8f97efc8cc8d7a40aa9aec18bc2fb317429e89f354cc7cf104', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '242349e11170b41dd7556563f6a1d0c21e26c288b40928656df5adb001564b47', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '07d40bea280d5370c0f6abbc42d1f027e963d93a5273aac4e36b242f911ff2a2', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
