Testing SD card write operations: 2022-05-22 10:48:40
2022-05-22 10:49:15: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:15: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-22 10:49:15: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:15: {'ssid':'R13', 'bssid':'b9b4ce3e5ea002e7bb6db8f4f5146218fc312f49d86be57c35178917', 'sec':4, 'channel':4, 'rssi':-92}
2022-05-22 10:49:17: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:17: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:21: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:21: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:21: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-22 10:49:22: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:22: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:22: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-68}
2022-05-22 10:49:22: {'ssid':'R13', 'bssid':'b9b4ce3e5ea002e7bb6db8f4f5146218fc312f49d86be57c35178917', 'sec':4, 'channel':4, 'rssi':-92}
2022-05-22 10:49:24: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-22 10:49:24: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:24: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-87}
2022-05-22 10:49:24: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-88}
2022-05-22 10:49:26: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:26: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:26: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-22 10:49:26: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-83}
2022-05-22 10:49:28: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:28: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:28: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-22 10:49:30: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-51}
2022-05-22 10:49:30: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:30: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-22 10:49:32: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-22 10:49:32: {'ssid':'R14', 'bssid':'437458f1436d51899bc2b069630b3a4369b5fdf42068abe2f19f0de2', 'sec':2, 'channel':11, 'rssi':-97}
2022-05-22 10:49:34: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-36}
2022-05-22 10:49:34: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:34: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:36: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-22 10:49:36: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-54}
2022-05-22 10:49:36: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-56}
2022-05-22 10:49:36: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-84}
2022-05-22 10:49:38: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-22 10:49:38: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:38: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-53}
2022-05-22 10:49:39: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-22 10:49:39: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-52}
2022-05-22 10:49:41: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-22 10:49:43: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-54}
2022-05-22 10:49:43: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-54}
2022-05-22 10:49:43: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-22 10:49:43: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-88}
2022-05-22 10:49:45: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-22 10:49:45: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-56}
2022-05-22 10:49:45: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-79}
2022-05-22 10:49:45: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-79}
2022-05-22 10:49:47: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-22 10:49:47: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:47: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:47: {'ssid':'R12', 'bssid':'3e23d1a451c566b3d9d47464669e801d951be72f2896b761e0f3eeed', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:49:47: {'ssid':'R10', 'bssid':'47d35a39a7f731cd20105b534645965be8c6640ec832a821bfa10777', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-22 10:49:49: {'ssid':'R11', 'bssid':'072dcc07489a958f09f4526150b1e21b7d7a7b94620b190226ae35e3', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-22 10:49:49: {'ssid':'R12', 'bssid':'7cb3b6d749f077c27af219a97c46ff027d52311371c3bb2261a6d954', 'sec':3, 'channel':1, 'rssi':-55}
2022-05-22 10:49:49: {'ssid':'R10', 'bssid':'cb7cce84b236eef815cf808134c5786b34263e83c166d77f028bd7d0', 'sec':3, 'channel':1, 'rssi':-55}
