Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
10:49:15,,3,b'c46ce48f1aa6',-82,,3,64,,3
10:49:15,26,3,b'47e1896fb69e',-88,,3,64,8,3
10:49:16,,3,b'3509b7704b99',-87,,3,64,,3
10:49:17,26,3,b'62ba1db87449',-85,,3,64,12,3
10:49:18,26,3,b'7fca750f54f7',-88,,3,64,26,3
10:49:18,,3,b'dd774af616f1',-93,,3,64,,3
10:49:19,26,3,b'7fca750f54f7',-90,,3,64,26,3
10:49:20,,3,b'e076ed7e8f50',-69,,3,64,,3
10:49:21,26,3,b'59b669c3cd4d',-86,,3,64,12,3
10:49:22,,3,b'3509b7704b99',-86,,3,64,,3
10:49:22,,3,b'c2caf3694569',-85,,3,64,,3
10:49:23,6,3,b'c0288df7531e',-84,,3,64,,3
10:49:24,,3,b'c46ce48f1aa6',-87,,3,64,,3
10:49:25,,3,b'3509b7704b99',-88,,3,64,,3
10:49:26,,3,b'd10643d71e8f',-87,,3,64,,3
10:49:26,26,3,b'62ba1db87449',-89,,3,64,12,3
10:49:27,6,3,b'c0288df7531e',-84,,3,64,,3
10:49:28,26,3,b'598dc9101cd9',-83,,3,64,12,3
10:49:29,6,3,b'c0288df7531e',-88,,3,64,,3
10:49:30,,3,b'3509b7704b99',-84,,3,64,,3
10:49:30,26,3,b'62ba1db87449',-86,,3,64,12,3
10:49:31,26,3,b'7bbeb0f082d7',-64,,3,64,12,3
10:49:32,,3,b'3509b7704b99',-88,,3,64,,3
10:49:33,,3,b'c2caf3694569',-88,,3,64,,3
10:49:34,,3,b'3509b7704b99',-87,,3,64,,3
10:49:34,26,3,b'7fca750f54f7',-96,,3,64,26,3
10:49:35,,3,b'c46ce48f1aa6',-86,,3,64,,3
10:49:36,26,3,b'62ba1db87449',-85,,3,64,12,3
10:49:37,26,3,b'7bbeb0f082d7',-61,,3,64,12,3
10:49:38,26,3,b'59b669c3cd4d',-88,,3,64,12,3
10:49:38,,3,b'cf862e7644b4',-95,,3,64,,3
10:49:39,26,3,b'7bbeb0f082d7',-63,,3,64,12,3
10:49:40,26,3,b'62ba1db87449',-92,,3,64,12,3
10:49:41,,3,b'3509b7704b99',-91,,3,64,,3
10:49:42,,3,b'3c4bdfa59ef0',-95,,3,64,,3
10:49:42,,3,b'e076ed7e8f50',-61,,3,64,,3
10:49:43,,3,b'c46ce48f1aa6',-83,,3,64,,3
10:49:44,,3,b'3509b7704b99',-90,,3,64,,3
10:49:45,,3,b'316e61088134',-91,,3,64,,3
10:49:46,26,3,b'7bbeb0f082d7',-66,,3,64,12,3
10:49:46,,3,b'e076ed7e8f50',-75,,3,64,,3
10:49:47,,3,b'f15a71781f84',-53,,3,64,,3
10:49:48,26,3,b'598dc9101cd9',-88,,3,64,12,3
10:49:49,26,3,b'7bbeb0f082d7',-63,,3,64,12,3
10:49:50,26,3,b'7bbeb0f082d7',-61,,3,64,12,3
10:49:50,,3,b'e076ed7e8f50',-69,,3,64,,3
10:49:51,26,3,b'7bbeb0f082d7',-60,,3,64,12,3
10:49:52,26,3,b'7bbeb0f082d7',-73,,3,64,12,3
10:49:53,26,3,b'7bbeb0f082d7',-50,,3,64,12,3
10:49:54,,3,b'3509b7704b99',-86,,3,64,,3
10:49:54,,3,b'3509b7704b99',-93,,3,64,,3
10:49:55,,3,b'316e61088134',-91,,3,64,,3
10:49:56,,3,b'd10643d71e8f',-88,,3,64,,3
10:49:57,26,3,b'7bbeb0f082d7',-73,,3,64,12,3
10:49:58,,3,b'f15a71781f84',-68,,3,64,,3
10:49:58,,3,b'0075cfbe0ef3',-95,,3,64,,3
10:49:59,,3,b'0075cfbe0ef3',-99,,3,64,,3
10:50:00,26,3,b'7bbeb0f082d7',-72,,3,64,12,3
10:50:01,26,3,b'7bbeb0f082d7',-68,,3,64,12,3
10:50:01,,3,b'f15a71781f84',-70,,3,64,,3
10:50:02,26,3,b'62ba1db87449',-85,,3,64,12,3
10:50:03,,3,b'dd774af616f1',-95,,3,64,,3
10:50:04,26,3,b'7bbeb0f082d7',-70,,3,64,12,3
10:50:05,26,3,b'268e77947fd4',-93,,3,64,,3
10:50:05,,3,b'f15a71781f84',-71,,3,64,,3
10:50:06,26,3,b'62ba1db87449',-80,,3,64,12,3
10:50:07,,3,b'c46ce48f1aa6',-84,,3,64,,3
10:50:08,26,3,b'7bbeb0f082d7',-64,,3,64,12,3
10:50:09,26,3,b'7bbeb0f082d7',-71,,3,64,12,3
10:50:10,26,3,b'62ba1db87449',-81,,3,64,12,3
10:50:10,,3,b'e076ed7e8f50',-71,,3,64,,3
10:50:11,,3,b'c46ce48f1aa6',-83,,3,64,,3
10:50:12,,3,b'd10643d71e8f',-90,,3,64,,3
10:50:13,,3,b'3509b7704b99',-86,,3,64,,3
10:50:14,26,3,b'7bbeb0f082d7',-63,,3,64,12,3
10:50:14,26,3,b'7bbeb0f082d7',-70,,3,64,12,3
10:50:15,,3,b'dd774af616f1',-87,,3,64,,3
10:50:16,26,3,b'7bbeb0f082d7',-77,,3,64,12,3
10:50:17,26,3,b'7bbeb0f082d7',-70,,3,64,12,3
10:50:17,26,3,b'c0288d505755',-94,,3,64,,3
10:50:18,26,3,b'7bbeb0f082d7',-63,,3,64,12,3
10:50:19,26,3,b'59b669c3cd4d',-94,,3,64,12,3
10:50:20,,3,b'e076ed7e8f50',-67,,3,64,,3
10:50:21,,3,b'3509b7704b99',-88,,3,64,,3
10:50:21,,3,b'cdee0e40cf2f',-89,,3,64,,3
10:50:22,26,3,b'59b669c3cd4d',-80,,3,64,12,3
10:50:23,,3,b'dd774af616f1',-89,,3,64,,3
10:50:24,6,3,b'c0288df7531e',-90,,3,64,,3
10:50:25,26,3,b'7bbeb0f082d7',-64,,3,64,12,3
10:50:25,26,3,b'4b4147a9ac1b',-90,,3,64,6,3
10:50:26,,3,b'3509b7704b99',-90,,3,64,,3
10:50:27,26,3,b'62ba1db87449',-82,,3,64,12,3
10:50:28,26,3,b'7bbeb0f082d7',-62,,3,64,12,3
10:50:29,26,3,b'4b4147a9ac1b',-88,,3,64,6,3
10:50:29,,3,b'f15a71781f84',-63,,3,64,,3
10:50:30,,3,b'e076ed7e8f50',-69,,3,64,,3
10:50:31,26,3,b'47e1896fb69e',-93,,3,64,8,3
10:50:32,26,3,b'7bbeb0f082d7',-69,,3,64,12,3
10:50:33,,3,b'3509b7704b99',-86,,3,64,,3
10:50:33,26,3,b'77b949d0b636',-91,,3,64,6,3
10:50:34,,3,b'f15a71781f84',-80,,3,64,,3
10:50:35,,3,b'f726966a24d6',-90,,3,64,,3
10:50:36,26,3,b'c0288d505755',-90,,3,64,,3
10:50:37,26,3,b'7fca750f54f7',-84,,3,64,26,3
10:50:37,,3,b'3509b7704b99',-90,,3,64,,3
10:50:38,6,3,b'c0288df7531e',-80,,3,64,,3
10:50:39,26,3,b'62ba1db87449',-93,,3,64,12,3
10:50:40,,3,b'3509b7704b99',-89,,3,64,,3
10:50:41,,3,b'3509b7704b99',-91,,3,64,,3
10:50:41,26,3,b'7bbeb0f082d7',-71,,3,64,12,3
10:50:42,,3,b'e076ed7e8f50',-69,,3,64,,3
10:50:43,26,3,b'7fca750f54f7',-90,,3,64,26,3
10:50:44,26,3,b'7bbeb0f082d7',-79,,3,64,12,3
10:50:45,26,3,b'598dc9101cd9',-88,,3,64,12,3
10:50:45,,3,b'3509b7704b99',-91,,3,64,,3
10:50:46,26,3,b'59b669c3cd4d',-88,,3,64,12,3
10:50:47,26,3,b'47e1896fb69e',-85,,3,64,,3
10:50:48,26,3,b'47e1896fb69e',-83,,3,64,,3
10:50:49,26,3,b'62ba1db87449',-86,,3,64,12,3
10:50:49,26,3,b'4c939633e435',-87,,3,64,12,3
10:50:50,26,3,b'59b669c3cd4d',-84,,3,64,,3
10:50:51,,3,b'3509b7704b99',-92,,3,64,,3
10:50:52,,3,b'f15a71781f84',-77,,3,64,,3
10:50:53,,3,b'3509b7704b99',-92,,3,64,,3
10:50:53,26,3,b'182a270a2fcb',-92,,3,64,,3
10:50:54,,3,b'3509b7704b99',-91,,3,64,,3
10:50:55,26,3,b'59b669c3cd4d',-84,,3,64,,3
10:50:56,26,3,b'59b669c3cd4d',-84,,3,64,,3
10:50:57,26,3,b'4c939633e435',-89,,3,64,12,3
10:50:57,26,3,b'59b669c3cd4d',-84,,3,64,,3
10:50:58,,3,b'f15a71781f84',-76,,3,64,,3
10:50:59,,3,b'3509b7704b99',-92,,3,64,,3
10:51:00,6,3,b'c0288df7531e',-85,,3,64,,3
10:51:00,6,3,b'c0288df7531e',-84,,3,64,,3
10:51:01,,3,b'3509b7704b99',-94,,3,64,,3
10:51:02,26,3,b'47e1896fb69e',-92,,3,64,,3
10:51:03,26,3,b'62ba1db87449',-86,,3,64,12,3
10:51:04,,3,b'e034b4f0e9f1',-96,,3,64,,3
10:51:04,26,3,b'c0288d505755',-89,,3,64,,3
10:51:05,,3,b'c46ce48f1aa6',-87,,3,64,,3
10:51:06,,3,b'f15a71781f84',-73,,3,64,,3
10:51:07,,3,b'f726966a24d6',-92,,3,64,,3
10:51:08,26,3,b'c0288d505755',-94,,3,64,,3
10:51:08,,3,b'e076ed7e8f50',-70,,3,64,,3
10:51:09,,3,b'c46ce48f1aa6',-82,,3,64,,3
10:51:10,26,3,b'47e1896fb69e',-88,,3,64,8,3
10:51:11,26,3,b'182a270a2fcb',-96,,3,64,,3
10:51:12,26,3,b'598dc9101cd9',-86,,3,64,12,3
10:51:12,,3,b'3509b7704b99',-87,,3,64,,3
