Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
10:49:15,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:17,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:19,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:20,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:22,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:24,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:26,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:28,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:29,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:31,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:33,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:35,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:37,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:39,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:40,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:42,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:44,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:46,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:48,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:49,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:49:51,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:53,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:55,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:57,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:49:58,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:00,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:02,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:04,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:06,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:08,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:09,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:11,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:13,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:15,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:17,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:18,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:20,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:22,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:24,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:25,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:27,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:29,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:31,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:33,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:35,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:36,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:38,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:40,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:42,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:44,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:50:46,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:47,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:49,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:51,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:53,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:55,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:56,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:50:58,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:00,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:02,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:04,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:05,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:07,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:09,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:11,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:13,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:15,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:16,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:18,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:20,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:22,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:24,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:25,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:27,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:29,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:31,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:33,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:34,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:36,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:38,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:51:40,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:42,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:44,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:45,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:47,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:49,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:51,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:53,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:54,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:56,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:51:58,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:00,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:02,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:03,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:05,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:07,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:09,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:11,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:12,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:14,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:16,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:18,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:20,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:22,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:23,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:25,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:27,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:29,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:31,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:32,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:34,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:36,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:38,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:40,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:41,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:43,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:45,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:47,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:49,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:51,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:52,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
10:52:54,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:56,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
10:52:58,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
10:53:00,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
10:53:01,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
