Time,ssid,bssid,sec,channel,rssi
10:49:15,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-53
10:49:15,iPhone,b'Bb\x9d\xab:\x18',3,6,-54
10:49:15,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-55
10:49:15,cashpad-Ebg8,b'\x04\xf0!\x9f}4',4,4,-92
10:49:17,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-53
10:49:17,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-53
10:49:21,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-51
10:49:21,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-51
10:49:21,iPhone,b'Bb\x9d\xab:\x18',3,6,-51
10:49:22,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-52
10:49:22,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-52
10:49:22,iPhone,b'Bb\x9d\xab:\x18',3,6,-68
10:49:22,cashpad-Ebg8,b'\x04\xf0!\x9f}4',4,4,-92
10:49:24,iPhone,b'Bb\x9d\xab:\x18',3,6,-50
10:49:24,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-51
10:49:24,AdminNotti,b'\x9c\xc9\xeb\xb7\xecB',3,1,-87
10:49:24,NottingHill,b'\x9c\xc9\xeb\xb7\xecA',3,1,-88
10:49:26,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-51
10:49:26,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-52
10:49:26,iPhone,b'Bb\x9d\xab:\x18',3,6,-60
10:49:26,AdminNotti,b'\x9c\xc9\xeb\xb7\xecB',3,1,-83
10:49:28,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-51
10:49:28,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-52
10:49:28,iPhone,b'Bb\x9d\xab:\x18',3,6,-54
10:49:30,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-51
10:49:30,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-52
10:49:30,iPhone,b'Bb\x9d\xab:\x18',3,6,-58
10:49:32,iPhone,b'Bb\x9d\xab:\x18',3,6,-48
10:49:32,freebox_lili,b'j\x18V\x93\xd9\x8c',2,11,-97
10:49:34,iPhone,b'Bb\x9d\xab:\x18',3,6,-36
10:49:34,NottingHill,b'\x9c\xc9\xeb\xb9\x93\x01',3,1,-53
10:49:34,AdminNotti,b'\x9c\xc9\xeb\xb9\x93\x02',3,1,-53
10:49:36,iPhone,b'Bb\x9d\xab:\x18',3,6,-51
