Testing SD card write operations: 1970-01-01 02:00:06
2023-01-26 22:00:50: {'Acceleration': '(0.274292, 0.8031006, 0.5310059)', 'Roll': '-27.54195', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-53.56855'}
2023-01-26 22:00:51: {'Acceleration': '(0.2758789, 0.8039551, 0.5251465)', 'Roll': '-27.71461', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.74907'}
2023-01-26 22:00:52: {'Acceleration': '(0.2757568, 0.802124, 0.5236816)', 'Roll': '-27.7701', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.57819'}
2023-01-26 22:00:53: {'Acceleration': '(0.2728271, 0.8040771, 0.5268555)', 'Roll': '-27.51857', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.76666'}
2023-01-26 22:00:54: {'Acceleration': '(0.2729492, 0.8033447, 0.5220947)', 'Roll': '-27.6004', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69083'}
2023-01-26 22:00:55: {'Acceleration': '(0.2724609, 0.8044434, 0.5233154)', 'Roll': '-27.50346', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.74293'}
2023-01-26 22:00:55: {'Acceleration': '(0.276001, 0.8060303, 0.519043)', 'Roll': '-28.0018', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.5764'}
2023-01-26 22:00:56: {'Acceleration': '(0.276001, 0.8041992, 0.5233154)', 'Roll': '-27.80754', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.6586'}
2023-01-26 22:00:57: {'Acceleration': '(0.2763672, 0.8046875, 0.5184326)', 'Roll': '-27.92454', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.90173'}
2023-01-26 22:00:58: {'Acceleration': '(0.274292, 0.8046875, 0.5213623)', 'Roll': '-27.74914', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.59328'}
2023-01-26 22:00:59: {'Acceleration': '(0.2735596, 0.8045654, 0.5231934)', 'Roll': '-27.6035', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.72856'}
2023-01-26 22:01:00: {'Acceleration': '(0.272583, 0.8070068, 0.5159912)', 'Roll': '-28.43638', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.82533'}
2023-01-26 22:01:01: {'Acceleration': '(0.2752686, 0.8041992, 0.5214844)', 'Roll': '-27.92758', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.84561'}
2023-01-26 22:01:01: {'Acceleration': '(0.2727051, 0.8048096, 0.520874)', 'Roll': '-27.63443', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.85046'}
2023-01-26 22:01:02: {'Acceleration': '(0.2806396, 0.8033447, 0.5198975)', 'Roll': '-28.04518', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.83994'}
2023-01-26 22:01:03: {'Acceleration': '(0.2770996, 0.8027344, 0.5227051)', 'Roll': '-27.85742', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.67219'}
2023-01-26 22:01:04: {'Acceleration': '(0.2736816, 0.8034668, 0.5230713)', 'Roll': '-27.61949', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.69359'}
2023-01-26 22:01:05: {'Acceleration': '(0.2738037, 0.8067627, 0.5219727)', 'Roll': '-27.2789', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-53.67951'}
2023-01-26 22:01:06: {'Acceleration': '(0.2746582, 0.8049316, 0.5244141)', 'Roll': '-27.64298', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.69504'}
2023-01-26 22:01:07: {'Acceleration': '(0.2752686, 0.8060303, 0.5187988)', 'Roll': '-27.94989', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.92155'}
2023-01-26 22:01:07: {'Acceleration': '(0.276001, 0.8063965, 0.5283203)', 'Roll': '-27.35168', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.61542'}
2023-01-26 22:01:08: {'Acceleration': '(0.274292, 0.8032227, 0.5262451)', 'Roll': '-27.52964', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.75995'}
2023-01-26 22:01:09: {'Acceleration': '(0.274292, 0.8033447, 0.5235596)', 'Roll': '-27.64997', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.65631'}
2023-01-26 22:01:10: {'Acceleration': '(0.272583, 0.8041992, 0.5296631)', 'Roll': '-27.37583', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.65991'}
2023-01-26 22:01:11: {'Acceleration': '(0.2755127, 0.8049316, 0.5246582)', 'Roll': '-27.70522', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.90621'}
2023-01-26 22:01:12: {'Acceleration': '(0.2773438, 0.803833, 0.5185547)', 'Roll': '-28.13965', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.81176'}
2023-01-26 22:01:13: {'Acceleration': '(0.2756348, 0.8031006, 0.522583)', 'Roll': '-27.64498', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.70545'}
2023-01-26 22:01:13: {'Acceleration': '(0.276123, 0.8028564, 0.5217285)', 'Roll': '-27.88988', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.63297'}
2023-01-26 22:01:14: {'Acceleration': '(0.2767334, 0.8026123, 0.5252686)', 'Roll': '-27.78213', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.50897'}
