Testing SD card write operations: 2023-01-22 19:26:16
2023-01-22 19:26:17: {'name': None, 'adv_flag': 2, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '033de1208df97e2c0e8e798ea676e3d0f7379acb403253a99b42469b5d8c523c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:18: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:19: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:20: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '37a195a7ee7435f6b2a66f10cf3fa7ea05371be616681dfabe24463d1ec8c740', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:20: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:21: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:22: {'name': None, 'adv_flag': 26, 'rssi': -95, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:23: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:24: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:24: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:25: {'name': None, 'adv_flag': None, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:26: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ca80e63537e736481df8478faf018e5eb21a0fbfa0eca7a5532fa381561ff867', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:27: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'bc9d2cba18a85300ab277bea2e766a56b81da9ad9d1d286ceed2382ed9095f31', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:27: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:28: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '5a01c85d1bb0dbbe41b373edc45ebf42e7371e7402bf51c16b8bd0a6ea34fb53', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:29: {'name': None, 'adv_flag': None, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:30: {'name': 'Rb30', 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'a09e957cb3f1bb0f61ca70c849809327621961211fdb3625ed9974afc79ac649', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:31: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:31: {'name': None, 'adv_flag': 26, 'rssi': -56, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'e625be25291668b75ac46e1407764ecd09482889f8ff9453210c43200a8e686f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:32: {'name': 'Rb30', 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'a09e957cb3f1bb0f61ca70c849809327621961211fdb3625ed9974afc79ac649', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:33: {'name': None, 'adv_flag': 2, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '033de1208df97e2c0e8e798ea676e3d0f7379acb403253a99b42469b5d8c523c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:34: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '89be72858fbe7b161295e87578307339d351de811be35e197d540259d8b8e3be', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
