Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
09:14:09,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-94,,3,64,,3
09:14:09,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-75,,3,64,6.0,3
09:14:10,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-79,,3,64,6.0,3
09:14:11,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-79,,3,64,,3
09:14:12,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-96,,3,64,,3
09:14:13,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-78,,3,64,,3
09:14:13,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-93,,3,64,,3
09:14:14,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-92,,3,64,,3
09:14:15,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-76,,3,64,12.0,3
09:14:16,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-81,,3,64,,3
09:14:17,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-92,,3,64,,3
09:14:17,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-78,,3,64,,3
09:14:18,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-93,,3,64,,3
09:14:19,26.0,3,8b340fe075417e6db9dd11bf38ce45ceb3f74139ec9edd4ffd7c7c8942649f3e,-91,,3,64,7.0,3
09:14:20,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-75,,3,64,12.0,3
09:14:21,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-78,,3,64,,3
09:14:21,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-76,,3,64,12.0,3
09:14:22,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-90,,3,64,,3
09:14:23,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-78,,3,64,,3
09:14:24,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-83,,3,64,,3
09:14:25,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-71,,3,64,6.0,3
09:14:25,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-72,,3,64,6.0,3
09:14:26,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-82,,3,64,,3
09:14:27,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-94,,3,64,,3
09:14:28,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-90,,3,64,,3
09:14:29,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-76,,3,64,6.0,3
09:14:29,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-77,,3,64,12.0,3
09:14:30,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-82,,3,64,,3
09:14:31,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-81,,3,64,,3
09:14:32,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-75,,3,64,12.0,3
09:14:32,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-91,,3,64,,3
09:14:33,,3,83b40aaa97db644bec4ac17a36db558d643c1074d2d27423c60b0a030c45ecd6,-64,,3,64,,3
09:14:34,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-77,,3,64,12.0,3
09:14:35,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-90,,3,64,,3
09:14:36,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-81,,3,64,,3
09:14:36,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-93,,3,64,,3
09:14:37,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-81,,3,64,,3
09:14:38,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-80,,3,64,,3
09:14:39,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-76,,3,64,12.0,3
09:14:39,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-80,,3,64,12.0,3
09:14:40,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-79,,3,64,,3
09:14:41,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-85,,3,64,,3
09:14:42,,3,60524f6b874e3bad2b77d888d453ab9f73b0ac96d168221cb51b2a9db3d1fd12,-88,,3,64,,3
09:14:43,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-84,,3,64,12.0,3
09:14:43,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-72,,3,64,6.0,3
09:14:44,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-88,,3,64,,3
09:14:45,26.0,3,8b340fe075417e6db9dd11bf38ce45ceb3f74139ec9edd4ffd7c7c8942649f3e,-85,,3,64,7.0,3
09:14:46,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-72,,3,64,6.0,3
09:14:47,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-88,,3,64,,3
09:14:47,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-74,,3,64,12.0,3
09:14:48,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-89,,3,64,,3
09:14:49,26.0,3,ca76698b8b460e954218d335fab2b8b616dfacfd1441aa963ea4e363a7a77249,-77,,3,64,6.0,3
09:14:50,,3,c647c38106ae1529ea1186832dcbd1b8a8ec412a0cb645171361bb3b175a85d5,-93,,3,64,,3
09:14:51,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-80,,3,64,,3
09:14:52,26.0,3,4cda158fdba9b17eae81ac6bcd65bbc5483b9b37b9ee7c08859ff1e0d9c0eee6,-75,,3,64,12.0,3
09:14:52,26.0,3,8b340fe075417e6db9dd11bf38ce45ceb3f74139ec9edd4ffd7c7c8942649f3e,-86,,3,64,7.0,3
09:14:53,26.0,3,a35696a1c8ffb1ec7f7821ee48bbfc73a2f22b6fd0156afb066b6beec428d5f4,-90,,3,64,3.0,3
09:14:54,26.0,3,8b340fe075417e6db9dd11bf38ce45ceb3f74139ec9edd4ffd7c7c8942649f3e,-78,,3,64,7.0,3
09:14:55,,3,08cf1cde11918e5f75ebc76aae26fc404804392988c470dd11a3ad7bf2aa1ab2,-80,,3,64,,3
09:14:56,26.0,3,8b340fe075417e6db9dd11bf38ce45ceb3f74139ec9edd4ffd7c7c8942649f3e,-79,,3,64,7.0,3
