Time,ssid,bssid,sec,channel,rssi
09:14:09,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-52
09:14:09,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-72
09:14:09,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-72
09:14:11,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-53
09:14:11,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-71
09:14:11,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-71
09:14:12,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-53
09:14:12,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-72
09:14:12,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-72
09:14:14,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-51
09:14:14,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-72
09:14:14,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-73
09:14:16,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-60
09:14:16,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-73
09:14:16,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-73
09:14:18,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-53
09:14:18,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-71
09:14:18,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-72
09:14:20,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-52
09:14:20,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-71
09:14:20,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-71
09:14:22,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-53
09:14:22,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-71
09:14:22,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-71
09:14:24,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-52
09:14:24,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-69
09:14:24,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-69
09:14:26,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-60
09:14:26,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-69
09:14:26,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-70
09:14:28,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-53
09:14:28,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-74
09:14:28,U12,5e2dc7e0f1e75af179e5301a55ede96dfd08b4b9c9cad247c6f86957,0,1,-74
09:14:29,U10,09564b7b0aaf357291ac1e52642dda536200a9be0c4daeec542748f1,3,6,-54
09:14:29,U11,fb9dc278a8996f8f026d466e940c4d7e6dec6ab28645b286e6423635,5,1,-74
