Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
09:14:09,,3,b'24b104a9dd14',-94,,3,64,,3
09:14:09,26,3,b'6ab6b0620e57',-75,,3,64,6,3
09:14:10,26,3,b'6ab6b0620e57',-79,,3,64,6,3
09:14:11,,3,b'226391d3a5b2',-79,,3,64,,3
09:14:12,,3,b'24b104a9dd14',-96,,3,64,,3
09:14:13,,3,b'226391d3a5b2',-78,,3,64,,3
09:14:13,,3,b'24b104a9dd14',-93,,3,64,,3
09:14:14,,3,b'24b104a9dd14',-92,,3,64,,3
09:14:15,26,3,b'7bc46b39cce1',-76,,3,64,12,3
09:14:16,,3,b'226391d3a5b2',-81,,3,64,,3
09:14:17,,3,b'24b104a9dd14',-92,,3,64,,3
09:14:17,,3,b'226391d3a5b2',-78,,3,64,,3
09:14:18,,3,b'24b104a9dd14',-93,,3,64,,3
09:14:19,26,3,b'6f42b6154a58',-91,,3,64,7,3
09:14:20,26,3,b'7bc46b39cce1',-75,,3,64,12,3
09:14:21,,3,b'226391d3a5b2',-78,,3,64,,3
09:14:21,26,3,b'7bc46b39cce1',-76,,3,64,12,3
09:14:22,,3,b'24b104a9dd14',-90,,3,64,,3
09:14:23,,3,b'226391d3a5b2',-78,,3,64,,3
09:14:24,,3,b'226391d3a5b2',-83,,3,64,,3
09:14:25,26,3,b'6ab6b0620e57',-71,,3,64,6,3
09:14:25,26,3,b'6ab6b0620e57',-72,,3,64,6,3
09:14:26,,3,b'226391d3a5b2',-82,,3,64,,3
09:14:27,,3,b'24b104a9dd14',-94,,3,64,,3
09:14:28,,3,b'24b104a9dd14',-90,,3,64,,3
09:14:29,26,3,b'6ab6b0620e57',-76,,3,64,6,3
09:14:29,26,3,b'7bc46b39cce1',-77,,3,64,12,3
09:14:30,,3,b'226391d3a5b2',-82,,3,64,,3
09:14:31,,3,b'226391d3a5b2',-81,,3,64,,3
09:14:32,26,3,b'7bc46b39cce1',-75,,3,64,12,3
09:14:32,,3,b'24b104a9dd14',-91,,3,64,,3
09:14:33,,3,b'cfaa319a1a08',-64,,3,64,,3
09:14:34,26,3,b'7bc46b39cce1',-77,,3,64,12,3
09:14:35,,3,b'24b104a9dd14',-90,,3,64,,3
09:14:36,,3,b'226391d3a5b2',-81,,3,64,,3
09:14:36,,3,b'24b104a9dd14',-93,,3,64,,3
09:14:37,,3,b'226391d3a5b2',-81,,3,64,,3
09:14:38,,3,b'226391d3a5b2',-80,,3,64,,3
09:14:39,26,3,b'7bc46b39cce1',-76,,3,64,12,3
09:14:39,26,3,b'7bc46b39cce1',-80,,3,64,12,3
09:14:40,,3,b'226391d3a5b2',-79,,3,64,,3
09:14:41,,3,b'226391d3a5b2',-85,,3,64,,3
09:14:42,,3,b'dad9ffef60c7',-88,,3,64,,3
09:14:43,26,3,b'7bc46b39cce1',-84,,3,64,12,3
09:14:43,26,3,b'6ab6b0620e57',-72,,3,64,6,3
09:14:44,,3,b'226391d3a5b2',-88,,3,64,,3
09:14:45,26,3,b'6f42b6154a58',-85,,3,64,7,3
09:14:46,26,3,b'6ab6b0620e57',-72,,3,64,6,3
