Time,ssid,bssid,sec,channel,rssi
09:14:09,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-52
09:14:09,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-72
09:14:09,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-72
09:14:11,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:11,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:14:11,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:14:12,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:12,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-72
09:14:12,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-72
09:14:14,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-51
09:14:14,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-72
09:14:14,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-73
09:14:16,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-60
09:14:16,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-73
09:14:16,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-73
09:14:18,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:18,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:14:18,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-72
09:14:20,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-52
09:14:20,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:14:20,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:14:22,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:22,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:14:22,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:14:24,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-52
09:14:24,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-69
09:14:24,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-69
09:14:26,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-60
09:14:26,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-69
09:14:26,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-70
09:14:28,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:28,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:28,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-74
09:14:29,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:29,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:29,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-74
09:14:31,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-52
09:14:31,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:31,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:33,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:33,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
09:14:33,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:35,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:35,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:14:35,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:14:37,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-73
09:14:37,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:39,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:14:39,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:14:41,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:41,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:41,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:42,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-55
09:14:44,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:44,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:14:48,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:14:48,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:14:48,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-77
09:14:50,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-50
09:14:52,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:52,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:14:52,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:14:54,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:54,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
09:14:54,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:56,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:56,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:56,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-74
09:14:57,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:14:57,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
09:14:57,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:14:59,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-50
09:14:59,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:14:59,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-74
09:15:01,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:15:01,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-74
09:15:01,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:15:03,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:15:03,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
09:15:03,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:15:05,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-49
09:15:05,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:15:05,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:15:07,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-51
09:15:07,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:15:07,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-72
09:15:09,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-49
09:15:09,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:15:09,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:15:11,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-49
09:15:11,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-72
09:15:11,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-72
09:15:13,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:15:13,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-71
09:15:13,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-71
09:15:14,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-49
09:15:14,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-73
09:15:14,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-73
09:15:16,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-48
09:15:16,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:15:16,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:15:18,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-53
09:15:20,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:15:20,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-76
09:15:20,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-76
09:15:22,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-51
09:15:22,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
09:15:22,ULILLE-ACCUEIL,b'\\Z\xc7\xf2\x98a',0,1,-75
09:15:24,iPhone,b'\x82\xfb/\x1cG\x9c',3,6,-54
09:15:24,eduroam,b'\\Z\xc7\xf2\x98`',5,1,-75
