Testing SD card write operations: 2022-05-20 09:12:20
2022-05-20 09:14:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:14:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:14:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
